SOLAR,9933,Ezekiel,GREGORIAN 1933
1st,Sun,5249,January 1 st
2nd,Mon,5250,January 2 nd
3rd,Tue,5251,January 3 rd
4th,Wed,5252,January 4 th
5th,Thu,5253,January 5 th
6th,Fri,5254,January 6 th
7th,Sat,5255,January 7 th
8th,Sun,5256,January 8 th
9th,Mon,5257,January 9 th
10th,Tue,5258,January 10 th
11th,Wed     Full,5259,January 11 th
12th,Thu,5260,January 12 th
13th,Fri,5261,January 13 th
14th,Sat,5262,January 14 th
15th,Sun,5263,January 15 th
16th,Mon,5264,January 16 th
17th,Tue,5265,January 17 th
18th,Wed,5266,January 18 th
19th,Thu,5267,January 19 th
20th,Fri,5268,January 20 th
21st,Sat,5269,January 21 st
22nd,Sun,5270,January 22 nd
23rd,Mon,5271,January 23 rd
24th,Tue,5272,January 24 th
25th,Wed     New,5273,January 25 th
26th,Thu,5274,January 26 th
27th,Fri,5275,January 27 th
28th,Sat,5276,January 28 th
29th,Sun,5277,January 29 th
30th,Mon,5278,January 30 th
31st,Tue,5279,January 31 st
32nd,Wed,5280,Febuary 1 st
33rd,Thu,5281,Febuary 2 nd
34th,Fri,5282,Febuary 3 rd
35th,Sat,5283,Febuary 4 th
36th,Sun,5284,Febuary 5 th
36th,Mon,5285,Febuary 6 th
38th,Tue,5286,Febuary 7 th
39th,Wed,5287,Febuary 8 th
40th,Thu,5288,Febuary 9 th
41st,Fri     Full,5289,Febuary 10 th
42nd,Sat,5290,Febuary 11 th
43rd,Sun,5291,Febuary 12 th
44th,Mon,5292,Febuary 13 th
45th,Tue,5293,Febuary 14 th
46th,Wed,5294,Febuary 15 th
47th,Thu,5295,Febuary 16 th
48th,Fri,5296,Febuary 17 th
49th,Sat,5297,Febuary 18 th
50th,Sun,5298,Febuary 19 th
51st,Mon,5299,Febuary 20 th
52nd,Tue,5300,Febuary 21 st
53rd,Wed,5301,Febuary 22 nd
54th,Thu,5302,Febuary 23 rd
55th,Fri     New,5303,Febuary 24 th
56th,Sat,5304,Febuary 25 th
57th,Sun,5305,Febuary 26 th
58th,Mon,5306,Febuary 27 th
59th,Tue,5307,Febuary 28 th
60th,Wed,5308,March 1 st
61st,Thu,5309,March 2 nd
62nd,Fri,5310,March 3 rd
63rd,Sat,5311,March 4 th
64th,Sun,5312,March 5 th
65th,Mon,5313,March 6 th
66th,Tue,5314,March 7 th
67th,Wed,5315,March 8 th
68th,Thu,5316,March 9 th
69th,Fri,5317,March 10 th
70th,Sat,5318,March 11 th
71st,Sun     Full,5319,March 12 th
72nd,Mon,5320,March 13 th
73rd,Tue,5321,March 14 th
74th,Wed,5322,March 15 th
75th,Thu,5323,March 16 th
76th,Fri,5324,March 17 th
77th,Sat,5325,March 18 th
78th,Sun,5326,March 19 th
79th,Mon,5327,March 20 th
80th EQ,Tue,5328,March 21 st
81st,Wed,5329,March 22 nd
82nd,Thu,5330,March 23 rd
83rd,Fri,5331,March 24 th
84th,Sat,5332,March 25 th
85th,Sun     New,5333,March 26 th
86th,Mon,5334,March 27 th
87th,Tue,5335,March 28 th
88th,Wed,5336,March 29 th
89th,Thu,5337,March 30 th
90th,Fri,5338,March 31 st
91st,Sat,5339,April 1 st
92nd,Sun,5340,April 2 nd
93rd,Mon,5341,April 3 rd
94th,Tue,5342,April 4 th
95th,Wed,5343,April 5 th
96th,Thu,5344,April 6 th
97th,Fri,5345,April 7 th
98th,Sat,5346,April 8 th
99th,Sun,5347,April 9 th
100th,Mon     Full,5348,April 10 th
101st,Tue,5349,April 11 th
102nd,Wed,5350,April 12 th
103rd,Thu,5351,April 13 th
104th,Fri,5352,April 14 th
105th,Sat,5353,April 15 th
106th,Sun,5354,April 16 th
107th,Mon,5355,April 17 th
108th,Tue,5356,April 18 th
109th,Wed,5357,April 19 th
110th,Thu,5358,April 20 th
111th,Fri,5359,April 21 st
112th,Sat,5360,April 22 nd
113th,Sun,5361,April 23 rd
114th,Mon     New,5362,April 24 th
115th,Tue,5363,April 25 th
116th,Wed,5364,April 26 th
117th,Thu,5365,April 27 th
118th,Fri,5366,April 28 th
119th,Sat,5367,April 29 th
120th,Sun,5368,April 30 th
121st,Mon,5369,May 1 st
122nd,Tue,5370,May 2 nd
123rd,Wed,5371,May 3 rd
124th,Thu,5372,May 4 th
125th,Fri,5373,May 5 th
126th,Sat,5374,May 6 th
127th,Sun,5375,May 7 th
128th,Mon,5376,May 8 th
129th,Tue     Full,5377,May 9 th
130th,Wed,5378,May 10 th
131st,Thu,5379,May 11 th
132nd,Fri,5380,May 12 th
133rd,Sat,5381,May 13 th
134th,Sun,5382,May 14 th
135th,Mon,5383,May 15 th
136th,Tue,5384,May 16 th
137th,Wed,5385,May 17 th
138th,Thu,5386,May 18 th
139th,Fri,5387,May 19 th
140th,Sat,5388,May 20 th
141st,Sun,5389,May 21 st
142nd,Mon,5390,May 22 nd
143rd,Tue,5391,May 23 rd
144th,Wed     New,5392,May 24 th
145th,Thu,5393,May 25 th
146th,Fri,5394,May 26 th
147th,Sat,5395,May 27 th
148th,Sun,5396,May 28 th
149th,Mon,5397,May 29 th
150th,Tue,5398,May 30 th
151st,Wed,5399,May 31 st
152nd,Thu,5400,June 1 st
153rd,Fri,5401,June 2 nd
154th,Sat,5402,June 3 rd
155th,Sun,5403,June 4 th
156th,Mon,5404,June 5 th
157th,Tue,5405,June 6 th
158th,Wed,5406,June 7 th
159th,Thu     Full,5407,June 8 th
160th S,Fri,5408,June 9 th
161st,Sat,5409,June 10 th
162nd,Sun,5410,June 11 th
163rd,Mon,5411,June 12 th
164th,Tue,5412,June 13 th
165th,Wed,5413,June 14 th
166th,Thu,5414,June 15 th
