SOLAR,9936 L,Ezekiel,GREGORIAN 1936
1st,Wed,4153,January 1 st
2nd,Thu,4154,January 2 nd
3rd,Fri,4155,January 3 rd
4th,Sat,4156,January 4 th
5th,Sun,4157,January 5 th
6th,Mon,4158,January 6 th
7th,Tue,4159,January 7 th
8th,Wed     Full,4160,January 8 th
9th,Thu,4161,January 9 th
10th,Fri,4162,January 10 th
11th,Sat,4163,January 11 th
12th,Sun,4164,January 12 th
13th,Mon,4165,January 13 th
14th,Tue,4166,January 14 th
15th,Wed,4167,January 15 th
16th,Thu,4168,January 16 th
17th,Fri,4169,January 17 th
18th,Sat,4170,January 18 th
19th,Sun,4171,January 19 th
20th,Mon,4172,January 20 th
21st,Tue,4173,January 21 st
22nd,Wed,4174,January 22 nd
23rd,Thu,4175,January 23 rd
24th,Fri     New,4176,January 24 th
25th,Sat,4177,January 25 th
26th,Sun,4178,January 26 th
27th,Mon,4179,January 27 th
28th,Tue,4180,January 28 th
29th,Wed,4181,January 29 th
30th,Thu,4182,January 30 th
31st,Fri,4183,January 31 st
32nd,Sat,4184,Febuary 1 st
33rd,Sun,4185,Febuary 2 nd
34th,Mon,4186,Febuary 3 rd
35th,Tue,4187,Febuary 4 th
36th,Wed,4188,Febuary 5 th
36th,Thu,4189,Febuary 6 th
38th,Fri     Full,4190,Febuary 7 th
39th,Sat,4191,Febuary 8 th
40th,Sun,4192,Febuary 9 th
41st,Mon,4193,Febuary 10 th
42nd,Tue,4194,Febuary 11 th
43rd,Wed,4195,Febuary 12 th
44th,Thu,4196,Febuary 13 th
45th,Fri,4197,Febuary 14 th
46th,Sat,4198,Febuary 15 th
47th,Sun,4199,Febuary 16 th
48th,Mon,4200,Febuary 17 th
49th,Tue,4201,Febuary 18 th
50th,Wed,4202,Febuary 19 th
51st,Thu,4203,Febuary 20 th
52nd,Fri,4204,Febuary 21 st
53rd,Sat     New,4205,Febuary 22 nd
54th,Sun,4206,Febuary 23 rd
55th,Mon,4207,Febuary 24 th
56th,Tue,4208,Febuary 25 th
57th,Wed,4209,Febuary 26 th
58th,Thu,4210,Febuary 27 th
59th,Fri,4211,Febuary 28 th
60th,Sat,4212,Febuary 29 th
61st,Sun,4213,March 1 st
62nd,Mon,4214,March 2 nd
63rd,Tue,4215,March 3 rd
64th,Wed,4216,March 4 th
65th,Thu,4217,March 5 th
66th,Fri,4218,March 6 th
67th,Sat,4219,March 7 th
68th,Sun     Full,4220,March 8 th
69th,Mon,4221,March 9 th
70th,Tue,4222,March 10 th
71st,Wed,4223,March 11 th
72nd,Thu,4224,March 12 th
73rd,Fri,4225,March 13 th
74th,Sat,4226,March 14 th
75th,Sun,4227,March 15 th
76th,Mon,4228,March 16 th
77th,Tue,4229,March 17 th
78th,Wed,4230,March 18 th
79th,Thu,4231,March 19 th
80th EQ,Fri,4232,March 20 th
81st,Sat,4233,March 21 st
82nd,Sun,4234,March 22 nd
