SOLAR,9946,GREGORIAN 1946
1st,Tue,January 1 st
2nd,Wed,January 2 nd
3rd,Thu     New,January 3 rd
4th,Fri,January 4 th
5th,Sat,January 5 th
6th,Sun,January 6 th
7th,Mon,January 7 th
8th,Tue,January 8 th
9th,Wed,January 9 th
10th,Thu,January 10 th
11th,Fri,January 11 th
12th,Sat,January 12 th
13th,Sun,January 13 th
14th,Mon,January 14 th
15th,Tue,January 15 th
16th,Wed,January 16 th
17th,Thu     Full,January 17 th
18th,Fri,January 18 th
19th,Sat,January 19 th
20th,Sun,January 20 th
21st,Mon,January 21 st
22nd,Tue,January 22 nd
23rd,Wed,January 23 rd
24th,Thu,January 24 th
25th,Fri,January 25 th
26th,Sat,January 26 th
27th,Sun,January 27 th
28th,Mon,January 28 th
29th,Tue,January 29 th
30th,Wed,January 30 th
31st,Thu,January 31 st
32nd,Fri,Febuary 1 st
33rd,Sat     New,Febuary 2 nd
34th,Sun,Febuary 3 rd
35th,Mon,Febuary 4 th
36th,Tue,Febuary 5 th
36th,Wed,Febuary 6 th
38th,Thu,Febuary 7 th
39th,Fri,Febuary 8 th
40th,Sat,Febuary 9 th
41st,Sun,Febuary 10 th
42nd,Mon,Febuary 11 th
43rd,Tue,Febuary 12 th
44th,Wed,Febuary 13 th
45th,Thu,Febuary 14 th
46th,Fri,Febuary 15 th
47th,Sat     Full,Febuary 16 th
48th,Sun,Febuary 17 th
49th,Mon,Febuary 18 th
50th,Tue,Febuary 19 th
51st,Wed,Febuary 20 th
52nd,Thu,Febuary 21 st
53rd,Fri,Febuary 22 nd
54th,Sat,Febuary 23 rd
55th,Sun,Febuary 24 th
56th,Mon,Febuary 25 th
57th,Tue,Febuary 26 th
58th,Wed,Febuary 27 th
59th,Thu,Febuary 28 th
60th,Fri,March 1 st
61st,Sat,March 2 nd
62nd,Sun     New,March 3 rd
63rd,Mon,March 4 th
64th,Tue,March 5 th
65th,Wed,March 6 th
66th,Thu,March 7 th
67th,Fri,March 8 th
68th,Sat,March 9 th
69th,Sun,March 10 th
70th,Mon,March 11 th
71st,Tue,March 12 th
72nd,Wed,March 13 th
73rd,Thu,March 14 th
74th,Fri,March 15 th
75th,Sat,March 16 th
76th,Sun     Full,March 17 th
77th,Mon,March 18 th
78th,Tue,March 19 th
79th,Wed,March 20 th
80th EQ,Thu,March 21 st
81st,Fri,March 22 nd
82nd,Sat,March 23 rd
83rd,Sun,March 24 th
84th,Mon,March 25 th
85th,Tue,March 26 th
86th,Wed,March 27 th
87th,Thu,March 28 th
88th,Fri,March 29 th
89th,Sat,March 30 th
90th,Sun,March 31 st
91st,Mon,April 1 st
92nd,Tue     New,April 2 nd
93rd,Wed,April 3 rd
94th,Thu,April 4 th
95th,Fri,April 5 th
96th,Sat,April 6 th
97th,Sun,April 7 th
98th,Mon,April 8 th
99th,Tue,April 9 th
100th,Wed,April 10 th
101st,Thu,April 11 th
102nd,Fri,April 12 th
103rd,Sat,April 13 th
104th,Sun,April 14 th
105th,Mon,April 15 th
106th,Tue     Full,April 16 th
107th,Wed,April 17 th
108th,Thu,April 18 th
109th,Fri,April 19 th
110th,Sat,April 20 th
111th,Sun,April 21 st
112th,Mon,April 22 nd
113th,Tue,April 23 rd
114th,Wed,April 24 th
115th,Thu,April 25 th
116th,Fri,April 26 th
117th,Sat,April 27 th
118th,Sun,April 28 th
119th,Mon,April 29 th
120th,Tue,April 30 th
121st,Wed     New,May 1 st
122nd,Thu,May 2 nd
