SOLAR,9947,HEBREW,Ezekiel,ISLAMIC,GREGORIAN 1947
1st,Wed,5707 Teveth / 9,|-----Ezekiel's 2520 years (year 2519 day 221,1366 L Safar / 8,January 1 st
2nd,Thu,5707 Teveth / 10,|-----Ezekiel's 2520 years (year 2519 day 222,1366 L Safar / 9,January 2 nd
3rd,Fri,5707 Teveth / 11,|-----Ezekiel's 2520 years (year 2519 day 223,1366 L Safar / 10,January 3 rd
4th,Sat,5707 Teveth / 12,|-----Ezekiel's 2520 years (year 2519 day 224,1366 L Safar / 11,January 4 th
5th,Sun,5707 Teveth / 13,|-----Ezekiel's 2520 years (year 2519 day 225,1366 L Safar / 12,January 5 th
6th,Mon,5707 Teveth / 14,|-----Ezekiel's 2520 years (year 2519 day 226,1366 L Safar / 13,January 6 th
7th,Tue     Full,5707 Teveth / 15,|-----Ezekiel's 2520 years (year 2519 day 227,1366 L Safar / 14,January 7 th
8th,Wed,5707 Teveth / 16,|-----Ezekiel's 2520 years (year 2519 day 228,1366 L Safar / 15,January 8 th
9th,Thu,5707 Teveth / 17,|-----Ezekiel's 2520 years (year 2519 day 229,1366 L Safar / 16,January 9 th
10th,Fri,5707 Teveth / 18,|-----Ezekiel's 2520 years (year 2519 day 230,1366 L Safar / 17,January 10 th
11th,Sat,5707 Teveth / 19,|-----Ezekiel's 2520 years (year 2519 day 231,1366 L Safar / 18,January 11 th
12th,Sun,5707 Teveth / 20,|-----Ezekiel's 2520 years (year 2519 day 232,1366 L Safar / 19,January 12 th
13th,Mon,5707 Teveth / 21,|-----Ezekiel's 2520 years (year 2519 day 233,1366 L Safar / 20,January 13 th
14th,Tue,5707 Teveth / 22,|-----Ezekiel's 2520 years (year 2519 day 234,1366 L Safar / 21,January 14 th
15th,Wed,5707 Teveth / 23,|-----Ezekiel's 2520 years (year 2519 day 235,1366 L Safar / 22,January 15 th
16th,Thu,5707 Teveth / 24,|-----Ezekiel's 2520 years (year 2519 day 236,1366 L Safar / 23,January 16 th
17th,Fri,5707 Teveth / 25,|-----Ezekiel's 2520 years (year 2519 day 237,1366 L Safar / 24,January 17 th
18th,Sat,5707 Teveth / 26,|-----Ezekiel's 2520 years (year 2519 day 238,1366 L Safar / 25,January 18 th
19th,Sun,5707 Teveth / 27,|-----Ezekiel's 2520 years (year 2519 day 239,1366 L Safar / 26,January 19 th
20th,Mon,5707 Teveth / 28,|-----Ezekiel's 2520 years (year 2519 day 240,1366 L Safar / 27,January 20 th
21st,Tue,5707 Teveth / 29,|-----Ezekiel's 2520 years (year 2519 day 241,1366 L Safar / 28,January 21 st
22nd,Wed     New,5707 Shevat / 1,|-----Ezekiel's 2520 years (year 2519 day 242,1366 L Safar / 29,January 22 nd
23rd,Thu,5707 Shevat / 2,|-----Ezekiel's 2520 years (year 2519 day 243,1366 L Rabi`al-Awwal / 1,January 23 rd
24th,Fri,5707 Shevat / 3,|-----Ezekiel's 2520 years (year 2519 day 244,1366 L Rabi`al-Awwal / 2,January 24 th
25th,Sat,5707 Shevat / 4,|-----Ezekiel's 2520 years (year 2519 day 245,1366 L Rabi`al-Awwal / 3,January 25 th
26th,Sun,5707 Shevat / 5,|-----Ezekiel's 2520 years (year 2519 day 246,1366 L Rabi`al-Awwal / 4,January 26 th
27th,Mon,5707 Shevat / 6,|-----Ezekiel's 2520 years (year 2519 day 247,1366 L Rabi`al-Awwal / 5,January 27 th
28th,Tue,5707 Shevat / 7,|-----Ezekiel's 2520 years (year 2519 day 248,1366 L Rabi`al-Awwal / 6,January 28 th
29th,Wed,5707 Shevat / 8,|-----Ezekiel's 2520 years (year 2519 day 249,1366 L Rabi`al-Awwal / 7,January 29 th
30th,Thu,5707 Shevat / 9,|-----Ezekiel's 2520 years (year 2519 day 250,1366 L Rabi`al-Awwal / 8,January 30 th
31st,Fri,5707 Shevat / 10,|-----Ezekiel's 2520 years (year 2519 day 251,1366 L Rabi`al-Awwal / 9,January 31 st
32nd,Sat,5707 Shevat / 11,|-----Ezekiel's 2520 years (year 2519 day 252,1366 L Rabi`al-Awwal / 10,Febuary 1 st
33rd,Sun,5707 Shevat / 12,|-----Ezekiel's 2520 years (year 2519 day 253,1366 L Rabi`al-Awwal / 11,Febuary 2 nd
34th,Mon,5707 Shevat / 13,|-----Ezekiel's 2520 years (year 2519 day 254,1366 L Rabi`al-Awwal / 12,Febuary 3 rd
35th,Tue,5707 Shevat / 14,|-----Ezekiel's 2520 years (year 2519 day 255,1366 L Rabi`al-Awwal / 13,Febuary 4 th
36th,Wed     Full,5707 Shevat / 15,|-----Ezekiel's 2520 years (year 2519 day 256,1366 L Rabi`al-Awwal / 14,Febuary 5 th
36th,Thu,5707 Shevat / 16,|-----Ezekiel's 2520 years (year 2519 day 257,1366 L Rabi`al-Awwal / 15,Febuary 6 th
38th,Fri,5707 Shevat / 17,|-----Ezekiel's 2520 years (year 2519 day 258,1366 L Rabi`al-Awwal / 16,Febuary 7 th
39th,Sat,5707 Shevat / 18,|-----Ezekiel's 2520 years (year 2519 day 259,1366 L Rabi`al-Awwal / 17,Febuary 8 th
40th,Sun,5707 Shevat / 19,|-----Ezekiel's 2520 years (year 2519 day 260,1366 L Rabi`al-Awwal / 18,Febuary 9 th
41st,Mon,5707 Shevat / 20,|-----Ezekiel's 2520 years (year 2519 day 261,1366 L Rabi`al-Awwal / 19,Febuary 10 th
42nd,Tue,5707 Shevat / 21,|-----Ezekiel's 2520 years (year 2519 day 262,1366 L Rabi`al-Awwal / 20,Febuary 11 th
43rd,Wed,5707 Shevat / 22,|-----Ezekiel's 2520 years (year 2519 day 263,1366 L Rabi`al-Awwal / 21,Febuary 12 th
44th,Thu,5707 Shevat / 23,|-----Ezekiel's 2520 years (year 2519 day 264,1366 L Rabi`al-Awwal / 22,Febuary 13 th
