SOLAR,9948 L,HEBREW,ISLAMIC,GREGORIAN 1948
1st,Thu,5708 L Teveth / 19,1367 Safar / 18,January / 1 New Year
,,|Ezekiel's 2520 years (year 2520 day 226,,
2nd,Fri,5708 L Teveth / 20,1367 Safar / 19,January / 2
,,|Ezekiel's 2520 years (year 2520 day 227,,
3rd,Sat,5708 L Teveth / 21,1367 Safar / 20,January / 3
,,|Ezekiel's 2520 years (year 2520 day 228,,
4th,Sun,5708 L Teveth / 22,1367 Safar / 21,January / 4
,,|Ezekiel's 2520 years (year 2520 day 229,,
5th,Mon,5708 L Teveth / 23,1367 Safar / 22,January / 5
,,|Ezekiel's 2520 years (year 2520 day 230,,
6th,Tue,5708 L Teveth / 24,1367 Safar / 23,January / 6
,,|Ezekiel's 2520 years (year 2520 day 231,,
7th,Wed,5708 L Teveth / 25,1367 Safar / 24,January / 7
,,|Ezekiel's 2520 years (year 2520 day 232,,
8th,Thu,5708 L Teveth / 26,1367 Safar / 25,January / 8
,,|Ezekiel's 2520 years (year 2520 day 233,,
9th,Fri,5708 L Teveth / 27,1367 Safar / 26,January / 9
,,|Ezekiel's 2520 years (year 2520 day 234,,
10th,Sat,5708 L Teveth / 28,1367 Safar / 27,January / 10
,,|Ezekiel's 2520 years (year 2520 day 235,,
11th,Sun     New,5708 L Teveth / 29,1367 Safar / 28,January / 11
,,|Ezekiel's 2520 years (year 2520 day 236,,
12th,Mon,5708 L Shevat / 1,1367 Safar / 29,January / 12
,,|Ezekiel's 2520 years (year 2520 day 237,,
13th,Tue,5708 L Shevat / 2,1367 Rabi al-Awwal / 1,January / 13
,,|Ezekiel's 2520 years (year 2520 day 238,,
14th,Wed,5708 L Shevat / 3,1367 Rabi al-Awwal / 2,January / 14
,,|Ezekiel's 2520 years (year 2520 day 239,,
15th,Thu,5708 L Shevat / 4,1367 Rabi al-Awwal / 3,January / 15
,,|Ezekiel's 2520 years (year 2520 day 240,,
16th,Fri,5708 L Shevat / 5,1367 Rabi al-Awwal / 4,January / 16
,,|Ezekiel's 2520 years (year 2520 day 241,,
17th,Sat,5708 L Shevat / 6,1367 Rabi al-Awwal / 5,January / 17
,,|Ezekiel's 2520 years (year 2520 day 242,,
18th,Sun,5708 L Shevat / 7,1367 Rabi al-Awwal / 6,January / 18
,,|Ezekiel's 2520 years (year 2520 day 243,,
19th,Mon,5708 L Shevat / 8,1367 Rabi al-Awwal / 7,January / 19
,,|Ezekiel's 2520 years (year 2520 day 244,,
20th,Tue,5708 L Shevat / 9,1367 Rabi al-Awwal / 8,January / 20
,,|Ezekiel's 2520 years (year 2520 day 245,,
21st,Wed,5708 L Shevat / 10,1367 Rabi al-Awwal / 9,January / 21
,,|Ezekiel's 2520 years (year 2520 day 246,,
22nd,Thu,5708 L Shevat / 11,1367 Rabi al-Awwal / 10,January / 22
,,|Ezekiel's 2520 years (year 2520 day 247,,
23rd,Fri,5708 L Shevat / 12,1367 Rabi al-Awwal / 11,January / 23
,,|Ezekiel's 2520 years (year 2520 day 248,,
24th,Sat,5708 L Shevat / 13,1367 Rabi al-Awwal / 12,January / 24
,,|Ezekiel's 2520 years (year 2520 day 249,,
25th,Sun,5708 L Shevat / 14,1367 Rabi al-Awwal / 13,January / 25
,,|Ezekiel's 2520 years (year 2520 day 250,,
26th,Mon     Full,5708 L Shevat / 15,1367 Rabi al-Awwal / 14,January / 26
,,|Ezekiel's 2520 years (year 2520 day 251,,
27th,Tue,5708 L Shevat / 16,1367 Rabi al-Awwal / 15,January / 27
,,|Ezekiel's 2520 years (year 2520 day 252,,
28th,Wed,5708 L Shevat / 17,1367 Rabi al-Awwal / 16,January / 28
,,|Ezekiel's 2520 years (year 2520 day 253,,
29th,Thu,5708 L Shevat / 18,1367 Rabi al-Awwal / 17,January / 29
,,|Ezekiel's 2520 years (year 2520 day 254,,
30th,Fri,5708 L Shevat / 19,1367 Rabi al-Awwal / 18,January / 30
,,|Ezekiel's 2520 years (year 2520 day 255,,
31st,Sat,5708 L Shevat / 20,1367 Rabi al-Awwal / 19,January / 31
,,|Ezekiel's 2520 years (year 2520 day 256,,
32nd,Sun,5708 L Shevat / 21,1367 Rabi al-Awwal / 20,February / 1
,,|Ezekiel's 2520 years (year 2520 day 257,,
33rd,Mon,5708 L Shevat / 22,1367 Rabi al-Awwal / 21,February / 2
,,|Ezekiel's 2520 years (year 2520 day 258,,
