SOLAR,8000 L,HEBREW,SELEUCID ERA,CAPPADOCIA,EGYPT Civil,JULIAN AUC,HISTORICAL
1st,Sat,3760 L Shevat / 8,311 Peritios / 6,Artegeste / 18,PERET Tybi / 6,753 Ianuarius \ 1,1 BC L Jan \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-101,,,,,
2nd,Sun,3760 L Shevat / 9,311 Peritios / 7,Artegeste / 19,PERET Tybi / 7,753 Ianuarius \ 2,1 BC L Jan \ 4
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-102,,,,,
3rd,Mon,3760 L Shevat / 10,311 Peritios / 8,Artegeste / 20,PERET Tybi / 8,753 Ianuarius \ 3,1 BC L Jan \ 5
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-103,,,,,
4th,Tue,3760 L Shevat / 11,311 Peritios / 9,Artegeste / 21,PERET Tybi / 9,753 Ianuarius \ 4,1 BC L Jan \ 6
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-104,,,,,
5th,Wed,3760 L Shevat / 12,311 Peritios / 10,Artegeste / 22,PERET Tybi / 10,753 Ianuarius \ 5,1 BC L Jan \ 7
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-105,,,,,
6th,Thu,3760 L Shevat / 13,311 Peritios / 11,Artegeste / 23,PERET Tybi / 11,753 Ianuarius \ 6,1 BC L Jan \ 8
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-106,,,,,
7th,Fri     Full Moon,3760 L Shevat / 14,311 Peritios / 12,Artegeste / 24,PERET Tybi / 12,753 Ianuarius \ 7,1 BC L Jan \ 9
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-107,,,,,
8th,Sat,3760 L Shevat / 15,311 Peritios / 13,Artegeste / 25,PERET Tybi / 13,753 Ianuarius \ 8,1 BC L Jan \ 10
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-108,,,,,
,,[-----Total Eclipse,,,,,
9th,Sun,3760 L Shevat / 16,311 Peritios / 14,Artegeste / 26,PERET Tybi / 14,753 Ianuarius \ 9,1 BC L Jan \ 11
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-109,,,,,
10th,Mon,3760 L Shevat / 17,311 Peritios / 15,Artegeste / 27,PERET Tybi / 15,753 Ianuarius \ 10,1 BC L Jan \ 12
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-110,,,,,
11th,Tue,3760 L Shevat / 18,311 Peritios / 16,Artegeste / 28,PERET Tybi / 16,753 Ianuarius \ 11,1 BC L Jan \ 13
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-111,,,,,
12th,Wed,3760 L Shevat / 19,311 Peritios / 17,Artegeste / 29,PERET Tybi / 17,753 Ianuarius \ 12,1 BC L Jan \ 14
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-112,,,,,
13th,Thu,3760 L Shevat / 20,311 Peritios / 18,Artegeste / 30,PERET Tybi / 18,753 Ianuarius \ 13,1 BC L Jan \ 15
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-113,,,,,
14th,Fri,3760 L Shevat / 21,311 Peritios / 19,Ararata / 1,PERET Tybi / 19,753 Ianuarius \ 14,1 BC L Jan \ 16
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-114,,,,,
15th,Sat,3760 L Shevat / 22,311 Peritios / 20,Ararata / 2,PERET Tybi / 20,753 Ianuarius \ 15,1 BC L Jan \ 17
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-115,,,,,
16th,Sun,3760 L Shevat / 23,311 Peritios / 21,Ararata / 3,PERET Tybi / 21,753 Ianuarius \ 16,1 BC L Jan \ 18
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-116,,,,,
17th,Mon,3760 L Shevat / 24,311 Peritios / 22,Ararata / 4,PERET Tybi / 22,753 Ianuarius \ 17,1 BC L Jan \ 19
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-117,,,,,
18th,Tue,3760 L Shevat / 25,311 Peritios / 23,Ararata / 5,PERET Tybi / 23,753 Ianuarius \ 18,1 BC L Jan \ 20
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-118,,,,,
19th,Wed,3760 L Shevat / 26,311 Peritios / 24,Ararata / 6,PERET Tybi / 24,753 Ianuarius \ 19,1 BC L Jan \ 21
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-119,,,,,
20th,Thu,3760 L Shevat / 27,311 Peritios / 25,Ararata / 7,PERET Tybi / 25,753 Ianuarius \ 20,1 BC L Jan \ 22
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-120,,,,,
21st,Fri,3760 L Shevat / 28,311 Peritios / 26,Ararata / 8,PERET Tybi / 26,753 Ianuarius \ 21,1 BC L Jan \ 23
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-121,,,,,
22nd,Sat,3760 L Shevat / 29,311 Peritios / 27,Ararata / 9,PERET Tybi / 27,753 Ianuarius \ 22,1 BC L Jan \ 24
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-122,,,,,
23rd,Sun     New Moon,3760 L Shevat / 30,311 Peritios / 28,Ararata / 10,PERET Tybi / 28,753 Ianuarius \ 23,1 BC L Jan \ 25
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-123,,,,,
24th,Mon,3760 L Adar I / 1,311 Peritios / 29,Ararata / 11,PERET Tybi / 29,753 Ianuarius \ 24,1 BC L Jan \ 26
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-124,,,,,
25th,Tue,3760 L Adar I / 2,311 Dystros / 1,Ararata / 12,PERET Tybi / 30,753 Ianuarius \ 25,1 BC L Jan \ 27
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-125,,,,,
26th,Wed,3760 L Adar I / 3,311 Dystros / 2,Ararata / 13,PERET Mechir / 1,753 Ianuarius \ 26,1 BC L Jan \ 28
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-126,,,,,
27th,Thu,3760 L Adar I / 4,311 Dystros / 3,Ararata / 14,PERET Mechir / 2,753 Ianuarius \ 27,1 BC L Jan \ 29
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-127,,,,,
28th,Fri,3760 L Adar I / 5,311 Dystros / 4,Ararata / 15,PERET Mechir / 3,753 Ianuarius \ 28,1 BC L Jan \ 30
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-128,,,,,
29th,Sat,3760 L Adar I / 6,311 Dystros / 5,Ararata / 16,PERET Mechir / 4,753 Ianuarius \ 29,1 BC L Jan \ 31
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-129,,,,,
30th,Sun,3760 L Adar I / 7,311 Dystros / 6,Ararata / 17,PERET Mechir / 5,753 Ianuarius \ 30,1 BC L Feb \ 1
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-130,,,,,
31st,Mon,3760 L Adar I / 8,311 Dystros / 7,Ararata / 18,PERET Mechir / 6,753 Ianuarius \ 31,1 BC L Feb \ 2
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-131,,,,,
32nd,Tue,3760 L Adar I / 9,311 Dystros / 8,Ararata / 19,PERET Mechir / 7,753 Februarius \ 1,1 BC L Feb \ 3
,,|-----Daniel's Weeks Prophecy / Week 65 Day 2-132,,,,,
33rd,Wed,3760 L Adar I / 10,311 Dystros / 9,Ararata / 20,PERET Mechir / 8,753 Februarius \ 2,1 BC L Feb \ 4
