SOLAR,8212 L,JULIAN AUC,HISTORICAL
1st,Wed,965 L Ianuarius / 1,212 L Jan \ 1
2nd,Thu,965 L Ianuarius / 2,212 L Jan \ 2
3rd,Fri,965 L Ianuarius / 3,212 L Jan \ 3
4th,Sat,965 L Ianuarius / 4,212 L Jan \ 4
5th,Sun,965 L Ianuarius / 5,212 L Jan \ 5
6th,Mon     Full,965 L Ianuarius / 6,212 L Jan \ 6
7th,Tue,965 L Ianuarius / 7,212 L Jan \ 7
8th,Wed,965 L Ianuarius / 8,212 L Jan \ 8
9th,Thu,965 L Ianuarius / 9,212 L Jan \ 9
10th,Fri,965 L Ianuarius / 10,212 L Jan \ 10
11th,Sat,965 L Ianuarius / 11,212 L Jan \ 11
12th,Sun,965 L Ianuarius / 12,212 L Jan \ 12
13th,Mon,965 L Ianuarius / 13,212 L Jan \ 13
14th,Tue,965 L Ianuarius / 14,212 L Jan \ 14
15th,Wed,965 L Ianuarius / 15,212 L Jan \ 15
16th,Thu,965 L Ianuarius / 16,212 L Jan \ 16
17th,Fri,965 L Ianuarius / 17,212 L Jan \ 17
18th,Sat,965 L Ianuarius / 18,212 L Jan \ 18
19th,Sun,965 L Ianuarius / 19,212 L Jan \ 19
20th,Mon,965 L Ianuarius / 20,212 L Jan \ 20
21st,Tue     New,965 L Ianuarius / 21,212 L Jan \ 21
22nd,Wed,965 L Ianuarius / 22,212 L Jan \ 22
23rd,Thu,965 L Ianuarius / 23,212 L Jan \ 23
24th,Fri,965 L Ianuarius / 24,212 L Jan \ 24
25th,Sat,965 L Ianuarius / 25,212 L Jan \ 25
26th,Sun,965 L Ianuarius / 26,212 L Jan \ 26
27th,Mon,965 L Ianuarius / 27,212 L Jan \ 27
28th,Tue,965 L Ianuarius / 28,212 L Jan \ 28
29th,Wed,965 L Ianuarius / 29,212 L Jan \ 29
30th,Thu,965 L Ianuarius / 30,212 L Jan \ 30
31st,Fri,965 L Ianuarius / 31,212 L Jan \ 31
32nd,Sat,965 L Februarius / 1,212 L Feb / 1
33rd,Sun,965 L Februarius / 2,212 L Feb / 2
34th,Mon,965 L Februarius / 3,212 L Feb / 3
35th,Tue     Full,965 L Februarius / 4,212 L Feb / 4
36th,Wed,965 L Februarius / 5,212 L Feb / 5
36th,Thu,965 L Februarius / 6,212 L Feb / 6
