SOLAR,8217,JULIAN AUC,HISTORICAL
1st,Wed,970 Ianuarius / 1,217 Jan \ 1
2nd,Thu,970 Ianuarius / 2,217 Jan \ 2
3rd,Fri,970 Ianuarius / 3,217 Jan \ 3
4th,Sat,970 Ianuarius / 4,217 Jan \ 4
5th,Sun,970 Ianuarius / 5,217 Jan \ 5
6th,Mon,970 Ianuarius / 6,217 Jan \ 6
7th,Tue,970 Ianuarius / 7,217 Jan \ 7
8th,Wed,970 Ianuarius / 8,217 Jan \ 8
9th,Thu,970 Ianuarius / 9,217 Jan \ 9
10th,Fri     Full,970 Ianuarius / 10,217 Jan \ 10
11th,Sat,970 Ianuarius / 11,217 Jan \ 11
12th,Sun,970 Ianuarius / 12,217 Jan \ 12
13th,Mon,970 Ianuarius / 13,217 Jan \ 13
14th,Tue,970 Ianuarius / 14,217 Jan \ 14
15th,Wed,970 Ianuarius / 15,217 Jan \ 15
16th,Thu,970 Ianuarius / 16,217 Jan \ 16
17th,Fri,970 Ianuarius / 17,217 Jan \ 17
18th,Sat,970 Ianuarius / 18,217 Jan \ 18
19th,Sun,970 Ianuarius / 19,217 Jan \ 19
20th,Mon,970 Ianuarius / 20,217 Jan \ 20
21st,Tue,970 Ianuarius / 21,217 Jan \ 21
22nd,Wed,970 Ianuarius / 22,217 Jan \ 22
23rd,Thu,970 Ianuarius / 23,217 Jan \ 23
24th,Fri     New,970 Ianuarius / 24,217 Jan \ 24
25th,Sat,970 Ianuarius / 25,217 Jan \ 25
26th,Sun,970 Ianuarius / 26,217 Jan \ 26
27th,Mon,970 Ianuarius / 27,217 Jan \ 27
28th,Tue,970 Ianuarius / 28,217 Jan \ 28
29th,Wed,970 Ianuarius / 29,217 Jan \ 29
30th,Thu,970 Ianuarius / 30,217 Jan \ 30
31st,Fri,970 Ianuarius / 31,217 Jan \ 31
32nd,Sat,970 Februarius / 1,217 Feb / 1
33rd,Sun,970 Februarius / 2,217 Feb / 2
34th,Mon,970 Februarius / 3,217 Feb / 3
35th,Tue,970 Februarius / 4,217 Feb / 4
36th,Wed,970 Februarius / 5,217 Feb / 5
36th,Thu,970 Februarius / 6,217 Feb / 6
38th,Fri,970 Februarius / 7,217 Feb / 7
39th,Sat,970 Februarius / 8,217 Feb / 8
40th,Sun     Full,970 Februarius / 9,217 Feb / 9
