SOLAR,8031,HEBREW,SELEUCID ERA,NABATAEAN,EGYPTIAN CIVIL,JULIAN AUC,HISTORICAL
1st,Wed,3791 Teveth / 20,342 Audynaios / 20,Kislev 20,Peret Tybi 19,784 Ianuarius / 3,31 Jan \ 3
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-264,,,,,
2nd,Thu,3791 Teveth / 21,342 Audynaios / 21,Kislev 21,Peret Tybi 20,784 Ianuarius / 4,31 Jan \ 4
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-265,,,,,
3rd,Fri,3791 Teveth / 22,342 Audynaios / 22,Kislev 22,Peret Tybi 21,784 Ianuarius / 5,31 Jan \ 5
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-266,,,,,
4th,Sat,3791 Teveth / 23,342 Audynaios / 23,Kislev 23,Peret Tybi 22,784 Ianuarius / 6,31 Jan \ 6
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-267,,,,,
5th,Sun,3791 Teveth / 24,342 Audynaios / 24,Kislev 24,Peret Tybi 23,784 Ianuarius / 7,31 Jan \ 7
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-268,,,,,
6th,Mon,3791 Teveth / 25,342 Audynaios / 25,Kislev 25,Peret Tybi 24,784 Ianuarius / 8,31 Jan \ 8
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-269,,,,,
7th,Tue,3791 Teveth / 26,342 Audynaios / 26,Kislev 26,Peret Tybi 25,784 Ianuarius / 9,31 Jan \ 9
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-270,,,,,
8th,Wed,3791 Teveth / 27,342 Audynaios / 27,Kislev 27,Peret Tybi 26,784 Ianuarius / 10,31 Jan \ 10
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-271,,,,,
9th,Thu     New,3791 Teveth / 28,342 Audynaios / 28,Kislev 28,Peret Tybi 27,784 Ianuarius / 11,31 Jan \ 11
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-272,,,,,
10th,Fri,3791 Teveth / 29,342 Audynaios / 29,Kislev 29,Peret Tybi 28,784 Ianuarius / 12,31 Jan \ 12
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-273,,,,,
11th,Sat,3791 Shevat / 1,342 Audynaios / 30,Kislev 30,Peret Tybi 29,784 Ianuarius / 13,31 Jan \ 13
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-274,,,,,
12th,Sun,3791 Shevat / 2,342 Peritios / 1,Teveth / 1,Peret Tybi 30,784 Ianuarius / 14,31 Jan \ 14
,,|-----Daniel's Weeks Prophecy Week 69 Day 5-275,,,,,
13th,Mon,3791 Shevat / 3,342 Peritios / 2,Teveth / 2,Peret Mechir 1,784 Ianuarius / 15,31 Jan \ 15
