SOLAR,7647,HISTORICAL
1st,Tue,354 Jan \ 6
2nd,Wed,354 Jan \ 7
3rd,Thu,354 Jan \ 8
4th,Fri,354 Jan \ 9
5th,Sat,354 Jan \ 10
6th,Sun,354 Jan \ 11
7th,Mon     Full,354 Jan \ 12
8th,Tue,354 Jan \ 13
9th,Wed,354 Jan \ 14
10th,Thu,354 Jan \ 15
11th,Fri,354 Jan \ 16
12th,Sat,354 Jan \ 17
13th,Sun,354 Jan \ 18
14th,Mon,354 Jan \ 19
15th,Tue,354 Jan \ 20
16th,Wed,354 Jan \ 21
17th,Thu,354 Jan \ 22
18th,Fri,354 Jan \ 23
19th,Sat,354 Jan \ 24
20th,Sun,354 Jan \ 25
21st,Mon,354 Jan \ 26
22nd,Tue     New,354 Jan \ 27
23rd,Wed,354 Jan \ 28
24th,Thu,354 Jan \ 29
25th,Fri,354 Jan \ 30
26th,Sat,354 Jan \ 31
27th,Sun,354 Feb \ 1
28th,Mon,354 Feb \ 2
29th,Tue,354 Feb \ 3
30th,Wed,354 Feb \ 4
31st,Thu,354 Feb \ 5
32nd,Fri,354 Feb \ 6
33rd,Sat,354 Feb \ 7
34th,Sun,354 Feb \ 8
35th,Mon,354 Feb \ 9
36th,Tue,354 Feb \ 10
36th,Wed     Full,354 Feb \ 11
38th,Thu,354 Feb \ 12
39th,Fri,354 Feb \ 13
40th,Sat,354 Feb \ 14
41st,Sun,354 Feb \ 15
42nd,Mon,354 Feb \ 16
43rd,Tue,354 Feb \ 17
44th,Wed,354 Feb \ 18
45th,Thu,354 Feb \ 19
46th,Fri,354 Feb \ 20
47th,Sat,354 Feb \ 21
48th,Sun,354 Feb \ 22
49th,Mon,354 Feb \ 23
50th,Tue,354 Feb \ 24
51st,Wed,354 Feb \ 25
52nd,Thu     New,354 Feb \ 26
53rd,Fri,354 Feb \ 27
54th,Sat,354 Feb \ 28
55th,Sun,354 Mar \ 1
56th,Mon,354 Mar \ 2
57th,Tue,354 Mar \ 3
58th ,Wed,354 Mar \ 4
59th X,Thu,354 Mar \ 5
60th X,Fri,354 Mar \ 6
61st X,Sat,354 Mar \ 7
62nd X,Sun,354 Mar \ 8
63rd X,Mon,354 Mar \ 9
64th X,Tue,354 Mar \ 10
65th X,Wed,354 Mar \ 11
66th X,Thu     Full,354 Mar \ 12
67th X,Fri,354 Mar \ 13
68th X,Sat,354 Mar \ 14
69th X,Sun,354 Mar \ 15
70th X,Mon,354 Mar \ 16
71st X,Tue,354 Mar \ 17
72nd X,Wed,354 Mar \ 18
73rd X,Thu,354 Mar \ 19
74th X,Fri,354 Mar \ 20
75th X,Sat,354 Mar \ 21
76th X,Sun,354 Mar \ 22
77th X,Mon,354 Mar \ 23
78th X,Tue,354 Mar \ 24
79th X,Wed,354 Mar \ 25
80th EQ,Thu,354 Mar \ 26
81st  X,Fri     New,354 Mar \ 27
82nd X,Sat,354 Mar \ 28
83rd  X,Sun,354 Mar \ 29
84th X,Mon,354 Mar \ 30
85th X,Tue,354 Mar \ 31
86th X,Wed,354 Apr \ 1
87th,Thu,354 Apr \ 2
88th,Fri,354 Apr \ 3
89th,Sat,354 Apr \ 4
90th,Sun,354 Apr \ 5
