SOLAR,7397,Exile,HISTORICAL
1st,Sun,Exile year 2 day 175,604 Jan \ 8
2nd,Mon,Exile year 2 day 176,604 Jan \ 9
3rd,Tue,Exile year 2 day 177,604 Jan \ 10
4th,Wed,Exile year 2 day 178,604 Jan \ 11
5th,Thu,Exile year 2 day 179,604 Jan \ 12
6th,Fri,Exile year 2 day 180,604 Jan \ 13
7th,Sat,Exile year 2 day 181,604 Jan \ 14
8th,Sun     Full,Exile year 2 day 182,604 Jan \ 15
9th,Mon,Exile year 2 day 183,604 Jan \ 16
10th,Tue,Exile year 2 day 184,604 Jan \ 17
11th,Wed,Exile year 2 day 185,604 Jan \ 18
12th,Thu,Exile year 2 day 186,604 Jan \ 19
13th,Fri,Exile year 2 day 187,604 Jan \ 20
14th,Sat,Exile year 2 day 188,604 Jan \ 21
15th,Sun,Exile year 2 day 189,604 Jan \ 22
16th,Mon,Exile year 2 day 190,604 Jan \ 23
17th,Tue,Exile year 2 day 191,604 Jan \ 24
18th,Wed,Exile year 2 day 192,604 Jan \ 25
19th,Thu,Exile year 2 day 193,604 Jan \ 26
20th,Fri,Exile year 2 day 194,604 Jan \ 27
21st,Sat,Exile year 2 day 195,604 Jan \ 28
22nd,Sun,Exile year 2 day 196,604 Jan \ 29
23rd,Mon,Exile year 2 day 197,604 Jan \ 30
24th,Tue     New,Exile year 2 day 198,604 Jan \ 31
25th,Wed,Exile year 2 day 199,604 Feb \ 1
26th,Thu,Exile year 2 day 200,604 Feb \ 2
27th,Fri,Exile year 2 day 201,604 Feb \ 3
28th,Sat,Exile year 2 day 202,604 Feb \ 4
29th,Sun,Exile year 2 day 203,604 Feb \ 5
30th,Mon,Exile year 2 day 204,604 Feb \ 6
31st,Tue,Exile year 2 day 205,604 Feb \ 7
32nd,Wed,Exile year 2 day 206,604 Feb \ 8
33rd,Thu,Exile year 2 day 207,604 Feb \ 9
34th,Fri,Exile year 2 day 208,604 Feb \ 10
35th,Sat,Exile year 2 day 209,604 Feb \ 11
36th,Sun,Exile year 2 day 210,604 Feb \ 12
36th,Mon,Exile year 2 day 211,604 Feb \ 13
38th,Tue     Full,Exile year 2 day 212,604 Feb \ 14
39th,Wed,Exile year 2 day 213,604 Feb \ 15
40th,Thu,Exile year 2 day 214,604 Feb \ 16
41st,Fri,Exile year 2 day 215,604 Feb \ 17
42nd,Sat,Exile year 2 day 216,604 Feb \ 18
43rd,Sun,Exile year 2 day 217,604 Feb \ 19
44th,Mon,Exile year 2 day 218,604 Feb \ 20
45th,Tue,Exile year 2 day 219,604 Feb \ 21
46th,Wed,Exile year 2 day 220,604 Feb \ 22
47th,Thu,Exile year 2 day 221,604 Feb \ 23
48th,Fri,Exile year 2 day 222,604 Feb \ 24
49th,Sat,Exile year 2 day 223,604 Feb \ 25
50th,Sun,Exile year 2 day 224,604 Feb \ 26
51st,Mon,Exile year 2 day 225,604 Feb \ 27
52nd,Tue,Exile year 2 day 226,604 Feb \ 28
53rd,Wed     New,Exile year 2 day 227,604 Mar \ 1
54th,Thu,Exile year 2 day 228,604 Mar \ 2
55th,Fri,Exile year 2 day 229,604 Mar \ 3
56th,Sat,Exile year 2 day 230,604 Mar \ 4
57th,Sun,Exile year 2 day 231,604 Mar \ 5
58th,Mon,Exile year 2 day 232,604 Mar \ 6
59th X,Tue,Exile year 2 day 233,604 Mar \ 7
60th X,Wed,Exile year 2 day 234,604 Mar \ 8
61st X,Thu,Exile year 2 day 235,604 Mar \ 9
62nd X,Fri,Exile year 2 day 236,604 Mar \ 10
63rd X,Sat,Exile year 2 day 237,604 Mar \ 11
64th X,Sun,Exile year 2 day 238,604 Mar \ 12
65th X,Mon,Exile year 2 day 239,604 Mar \ 13
66th X,Tue,Exile year 2 day 240,604 Mar \ 14
67th X,Wed,Exile year 2 day 241,604 Mar \ 15
68th X,Thu     Full,Exile year 2 day 242,604 Mar \ 16
69th X,Fri,Exile year 2 day 243,604 Mar \ 17
70th X,Sat,Exile year 2 day 244,604 Mar \ 18
71st X,Sun,Exile year 2 day 245,604 Mar \ 19
72nd X,Mon,Exile year 2 day 246,604 Mar \ 20
73rd X,Tue,Exile year 2 day 247,604 Mar \ 21
74th X,Wed,Exile year 2 day 248,604 Mar \ 22
75th X,Thu,Exile year 2 day 249,604 Mar \ 23
76th X,Fri,Exile year 2 day 250,604 Mar \ 24
77th X,Sat,Exile year 2 day 251,604 Mar \ 25
78th X,Sun,Exile year 2 day 252,604 Mar \ 26
79th X,Mon,Exile year 2 day 253,604 Mar \ 27
80th EQ,Tue,Exile year 2 day 254,604 Mar \ 28
81st  X,Wed,Exile year 2 day 255,604 Mar \ 29
82nd X,Thu     New,Exile year 2 day 256,604 Mar \ 30
83rd  X,Fri,Exile year 2 day 257,604 Mar \ 31
84th X,Sat,Exile year 2 day 258,604 Apr \ 1
85th X,Sun,Exile year 2 day 259,604 Apr \ 2
86th X,Mon,Exile year 2 day 260,604 Apr \ 3
