SOLAR,7396 L,Exile,HISTORICAL
1st,Fri,Exile year 1 day 169,605 L Jan \ 8
2nd,Sat,Exile year 1 day 170,605 L Jan \ 9
3rd,Sun,Exile year 1 day 171,605 L Jan \ 10
4th,Mon,Exile year 1 day 172,605 L Jan \ 11
5th,Tue,Exile year 1 day 173,605 L Jan \ 12
6th,Wed     New,Exile year 1 day 174,605 L Jan \ 13
7th,Thu,Exile year 1 day 175,605 L Jan \ 14
8th,Fri,Exile year 1 day 176,605 L Jan \ 15
9th,Sat,Exile year 1 day 177,605 L Jan \ 16
10th,Sun,Exile year 1 day 178,605 L Jan \ 17
11th,Mon,Exile year 1 day 179,605 L Jan \ 18
12th,Tue,Exile year 1 day 180,605 L Jan \ 19
13th,Wed,Exile year 1 day 181,605 L Jan \ 20
14th,Thu,Exile year 1 day 182,605 L Jan \ 21
15th,Fri,Exile year 1 day 183,605 L Jan \ 22
16th,Sat,Exile year 1 day 184,605 L Jan \ 23
17th,Sun,Exile year 1 day 185,605 L Jan \ 24
18th,Mon,Exile year 1 day 186,605 L Jan \ 25
19th,Tue,Exile year 1 day 187,605 L Jan \ 26
20th,Wed     Full,Exile year 1 day 188,605 L Jan \ 27
21st,Thu,Exile year 1 day 189,605 L Jan \ 28
22nd,Fri,Exile year 1 day 190,605 L Jan \ 29
23rd,Sat,Exile year 1 day 191,605 L Jan \ 30
24th,Sun,Exile year 1 day 192,605 L Jan \ 31
25th,Mon,Exile year 1 day 193,605 L Feb \ 1
26th,Tue,Exile year 1 day 194,605 L Feb \ 2
27th,Wed,Exile year 1 day 195,605 L Feb \ 3
28th,Thu,Exile year 1 day 196,605 L Feb \ 4
29th,Fri,Exile year 1 day 197,605 L Feb \ 5
30th,Sat,Exile year 1 day 198,605 L Feb \ 6
31st,Sun,Exile year 1 day 199,605 L Feb \ 7
32nd,Mon,Exile year 1 day 200,605 L Feb \ 8
33rd,Tue,Exile year 1 day 201,605 L Feb \ 9
34th,Wed,Exile year 1 day 202,605 L Feb \ 10
35th,Thu     New,Exile year 1 day 203,605 L Feb \ 11
36th,Fri,Exile year 1 day 204,605 L Feb \ 12
36th,Sat,Exile year 1 day 205,605 L Feb \ 13
38th,Sun,Exile year 1 day 206,605 L Feb \ 14
39th,Mon,Exile year 1 day 207,605 L Feb \ 15
40th,Tue,Exile year 1 day 208,605 L Feb \ 16
41st,Wed,Exile year 1 day 209,605 L Feb \ 17
42nd,Thu,Exile year 1 day 210,605 L Feb \ 18
43rd,Fri,Exile year 1 day 211,605 L Feb \ 19
44th,Sat,Exile year 1 day 212,605 L Feb \ 20
45th,Sun,Exile year 1 day 213,605 L Feb \ 21
46th,Mon,Exile year 1 day 214,605 L Feb \ 22
47th,Tue,Exile year 1 day 215,605 L Feb \ 23
48th,Wed,Exile year 1 day 216,605 L Feb \ 24
49th,Thu,Exile year 1 day 217,605 L Feb \ 25
50th,Fri     Full,Exile year 1 day 218,605 L Feb \ 26
51st,Sat,Exile year 1 day 219,605 L Feb \ 27
52nd,Sun,Exile year 1 day 220,605 L Feb \ 28
53rd,Mon,Exile year 1 day 221,605 L Feb \ 29
54th,Tue,Exile year 1 day 222,605 L Mar \ 1
55th,Wed,Exile year 1 day 223,605 L Mar \ 2
56th,Thu,Exile year 1 day 224,605 L Mar \ 3
57th,Fri,Exile year 1 day 225,605 L Mar \ 4
58th,Sat,Exile year 1 day 226,605 L Mar \ 5
59th X,Sun,Exile year 1 day 227,605 L Mar \ 6
60th X,Mon,Exile year 1 day 228,605 L Mar \ 7
61st X,Tue,Exile year 1 day 229,605 L Mar \ 8
62nd X,Wed,Exile year 1 day 230,605 L Mar \ 9
63rd X,Thu,Exile year 1 day 231,605 L Mar \ 10
64th X,Fri     New,Exile year 1 day 232,605 L Mar \ 11
65th X,Sat,Exile year 1 day 233,605 L Mar \ 12
66th X,Sun,Exile year 1 day 234,605 L Mar \ 13
67th X,Mon,Exile year 1 day 235,605 L Mar \ 14
68th X,Tue,Exile year 1 day 236,605 L Mar \ 15
69th X,Wed,Exile year 1 day 237,605 L Mar \ 16
70th X,Thu,Exile year 1 day 238,605 L Mar \ 17
71st X,Fri,Exile year 1 day 239,605 L Mar \ 18
72nd X,Sat,Exile year 1 day 240,605 L Mar \ 19
73rd X,Sun,Exile year 1 day 241,605 L Mar \ 20
74th X,Mon,Exile year 1 day 242,605 L Mar \ 21
75th X,Tue,Exile year 1 day 243,605 L Mar \ 22
76th X,Wed,Exile year 1 day 244,605 L Mar \ 23
77th X,Thu,Exile year 1 day 245,605 L Mar \ 24
78th X,Fri,Exile year 1 day 246,605 L Mar \ 25
79th X,Sat,Exile year 1 day 247,605 L Mar \ 26
80th EQ,Sun     Full,Exile year 1 day 248,605 L Mar \ 27
81st  X,Mon,Exile year 1 day 249,605 L Mar \ 28
82nd X,Tue,Exile year 1 day 250,605 L Mar \ 29
83rd  X,Wed,Exile year 1 day 251,605 L Mar \ 30
84th X,Thu,Exile year 1 day 252,605 L Mar \ 31
85th X,Fri,Exile year 1 day 253,605 L Apr \ 1
86th X,Sat,Exile year 1 day 254,605 L Apr \ 2
87th X,Sun,Exile year 1 day 255,605 L Apr \ 3
88th X,Mon,Exile year 1 day 256,605 L Apr \ 4
89th X,Tue,Exile year 1 day 257,605 L Apr \ 5
90th X,Wed,Exile year 1 day 258,605 L Apr \ 6
91st X,Thu,Exile year 1 day 259,605 L Apr \ 7
92nd X,Fri,Exile year 1 day 260,605 L Apr \ 8
93rd X,Sat,Exile year 1 day 261,605 L Apr \ 9
94th X,Sun     New,Exile year 1 day 262,605 L Apr \ 10
95th X,Mon,Exile year 1 day 263,605 L Apr \ 11
96th X,Tue,Exile year 1 day 264,605 L Apr \ 12
97th X,Wed,Exile year 1 day 265,605 L Apr \ 13
98th X,Thu,Exile year 1 day 266,605 L Apr \ 14
99th X,Fri,Exile year 1 day 267,605 L Apr \ 15
100th X,Sat,Exile year 1 day 268,605 L Apr \ 16
101st X,Sun,Exile year 1 day 269,605 L Apr \ 17
102nd X,Mon,Exile year 1 day 270,605 L Apr \ 18
103rd X,Tue,Exile year 1 day 271,605 L Apr \ 19
104th X,Wed,Exile year 1 day 272,605 L Apr \ 20
105th X,Thu,Exile year 1 day 273,605 L Apr \ 21
106th X,Fri,Exile year 1 day 274,605 L Apr \ 22
107th X,Sat,Exile year 1 day 275,605 L Apr \ 23
108th X,Sun,Exile year 1 day 276,605 L Apr \ 24
109th X,Mon     Full,Exile year 1 day 277,605 L Apr \ 25
110th X,Tue,Exile year 1 day 278,605 L Apr \ 26
111th X,Wed,Exile year 1 day 279,605 L Apr \ 27
112th X,Thu,Exile year 1 day 280,605 L Apr \ 28
