SOLAR,9944 L,GREGORIAN 1944
1st,Sat,January 1 st
2nd,Sun,January 2 nd
3rd,Mon,January 3 rd
4th,Tue,January 4 th
5th,Wed,January 5 th
6th,Thu,January 6 th
7th,Fri,January 7 th
8th,Sat,January 8 th
9th,Sun,January 9 th
10th,Mon     Full,January 10 th
11th,Tue,January 11 th
12th,Wed,January 12 th
13th,Thu,January 13 th
14th,Fri,January 14 th
15th,Sat,January 15 th
16th,Sun,January 16 th
17th,Mon,January 17 th
18th,Tue,January 18 th
19th,Wed,January 19 th
20th,Thu,January 20 th
21st,Fri,January 21 st
22nd,Sat,January 22 nd
23rd,Sun,January 23 rd
24th,Mon,January 24 th
25th,Tue     New,January 25 th
26th,Wed,January 26 th
27th,Thu,January 27 th
28th,Fri,January 28 th
29th,Sat,January 29 th
30th,Sun,January 30 th
31st,Mon,January 31 st
32nd,Tue,Febuary 1 st
33rd,Wed,Febuary 2 nd
34th,Thu,Febuary 3 rd
35th,Fri,Febuary 4 th
36th,Sat,Febuary 5 th
36th,Sun,Febuary 6 th
38th,Mon,Febuary 7 th
39th,Tue,Febuary 8 th
40th,Wed     Full,Febuary 9 th
41st,Thu,Febuary 10 th
42nd,Fri,Febuary 11 th
43rd,Sat,Febuary 12 th
44th,Sun,Febuary 13 th
45th,Mon,Febuary 14 th
46th,Tue,Febuary 15 th
47th,Wed,Febuary 16 th
48th,Thu,Febuary 17 th
49th,Fri,Febuary 18 th
50th,Sat,Febuary 19 th
51st,Sun,Febuary 20 th
52nd,Mon,Febuary 21 st
53rd,Tue,Febuary 22 nd
54th,Wed,Febuary 23 rd
55th,Thu     New,Febuary 24 th
56th,Fri,Febuary 25 th
57th,Sat,Febuary 26 th
58th,Sun,Febuary 27 th
59th,Mon,Febuary 28 th
60th,Tue,Febuary 29 th
61st,Wed,March 1 st
62nd,Thu,March 2 nd
63rd,Fri,March 3 rd
64th,Sat,March 4 th
65th,Sun,March 5 th
66th,Mon,March 6 th
67th,Tue,March 7 th
68th,Wed,March 8 th
69th,Thu,March 9 th
70th,Fri     Full,March 10 th
71st,Sat,March 11 th
72nd,Sun,March 12 th
73rd,Mon,March 13 th
74th,Tue,March 14 th
75th,Wed,March 15 th
76th,Thu,March 16 th
77th,Fri,March 17 th
78th,Sat,March 18 th
79th,Sun,March 19 th
80th EQ,Mon,March 20 th
81st,Tue,March 21 st
82nd,Wed,March 22 nd
83rd,Thu,March 23 rd
84th,Fri     New,March 24 th
85th,Sat,March 25 th
86th,Sun,March 26 th
87th,Mon,March 27 th
88th,Tue,March 28 th
89th,Wed,March 29 th
90th,Thu,March 30 th
91st,Fri,March 31 st
92nd,Sat,April 1 st
93rd,Sun,April 2 nd
94th,Mon,April 3 rd
95th,Tue,April 4 th
96th,Wed,April 5 th
97th,Thu,April 6 th
98th,Fri,April 7 th
99th,Sat     Full,April 8 th
100th,Sun,April 9 th
101st,Mon,April 10 th
102nd,Tue,April 11 th
103rd,Wed,April 12 th
104th,Thu,April 13 th
105th,Fri,April 14 th
106th,Sat,April 15 th
107th,Sun,April 16 th
108th,Mon,April 17 th
109th,Tue,April 18 th
110th,Wed,April 19 th
111th,Thu,April 20 th
112th,Fri,April 21 st
113th,Sat     New,April 22 nd
114th,Sun,April 23 rd
115th,Mon,April 24 th
116th,Tue,April 25 th
117th,Wed,April 26 th
118th,Thu,April 27 th
119th,Fri,April 28 th
120th,Sat,April 29 th
121st,Sun,April 30 th
122nd,Mon,May 1 st
123rd,Tue,May 2 nd
124th,Wed,May 3 rd
125th,Thu,May 4 th
126th,Fri,May 5 th
127th,Sat,May 6 th
128th,Sun,May 7 th
129th,Mon     Full,May 8 th
130th,Tue,May 9 th
131st,Wed,May 10 th
132nd,Thu,May 11 th
133rd,Fri,May 12 th
134th,Sat,May 13 th
135th,Sun,May 14 th
136th,Mon,May 15 th
137th,Tue,May 16 th
138th,Wed,May 17 th
139th,Thu,May 18 th
140th,Fri,May 19 th
141st,Sat,May 20 th
142nd,Sun,May 21 st
143rd,Mon     New,May 22 nd
144th,Tue,May 23 rd
145th,Wed,May 24 th
146th,Thu,May 25 th
147th,Fri,May 26 th
148th,Sat,May 27 th
149th,Sun,May 28 th
150th,Mon,May 29 th
151st,Tue,May 30 th
152nd,Wed,May 31 st
153rd,Thu,June 1 st
154th,Fri,June 2 nd
155th,Sat,June 3 rd
156th,Sun,June 4 th
157th,Mon,June 5 th
158th,Tue     Full,June 6 th
159th,Wed,June 7 th
160th S,Thu,June 8 th
161st,Fri,June 9 th
162nd,Sat,June 10 th
163rd,Sun,June 11 th
164th,Mon,June 12 th
165th,Tue,June 13 th
166th,Wed,June 14 th
167th,Thu,June 15 th
168th,Fri,June 16 th
169th,Sat,June 17 th
170th,Sun,June 18 th
171st,Mon,June 19 th
172nd,Tue     New,June 20 th
173rd,Wed,June 21 st
174th,Thu,June 22 nd
175th,Fri,June 23 rd
176th,Sat,June 24 th
177th,Sun,June 25 th
178th,Mon,June 26 th
179th,Tue,June 27 th
180th,Wed,June 28 th
181st,Thu,June 29 th
182nd,Fri,June 30 th
183rd,Sat,July 1 st
184th,Sun,July 2 nd
185th,Mon,July 3 rd
186th,Tue,July 4 th
187th,Wed,July 5 th
188th,Thu     Full,July 6 th
189th,Fri,July 7 th
190th,Sat,July 8 th
191st,Sun,July 9 th
192nd,Mon,July 10 th
193rd,Tue,July 11 th
194th,Wed,July 12 th
195th,Thu,July 13 th
196th,Fri,July 14 th
197th,Sat,July 15 th
198th,Sun,July 16 th
199th,Mon,July 17 th
200th,Tue,July 18 th
201st,Wed,July 19 th
202nd,Thu     New,July 20 th
203rd,Fri,July 21 st
204th,Sat,July 22 nd
205th,Sun,July 23 rd
206th,Mon,July 24 th
