SOLAR,9945,GREGORIAN 1945
1st,Mon,January 1 st
2nd,Tue,January 2 nd
3rd,Wed,January 3 rd
4th,Thu,January 4 th
5th,Fri,January 5 th
6th,Sat,January 6 th
7th,Sun,January 7 th
8th,Mon,January 8 th
9th,Tue,January 9 th
10th,Wed,January 10 th
11th,Thu,January 11 th
12th,Fri,January 12 th
13th,Sat,January 13 th
14th,Sun     New,January 14 th
15th,Mon,January 15 th
16th,Tue,January 16 th
17th,Wed,January 17 th
18th,Thu,January 18 th
19th,Fri,January 19 th
20th,Sat,January 20 th
21st,Sun,January 21 st
22nd,Mon,January 22 nd
23rd,Tue,January 23 rd
24th,Wed,January 24 th
25th,Thu,January 25 th
26th,Fri,January 26 th
27th,Sat,January 27 th
28th,Sun     Full,January 28 th
29th,Mon,January 29 th
30th,Tue,January 30 th
31st,Wed,January 31 st
32nd,Thu,Febuary 1 st
33rd,Fri,Febuary 2 nd
34th,Sat,Febuary 3 rd
35th,Sun,Febuary 4 th
36th,Mon,Febuary 5 th
36th,Tue,Febuary 6 th
38th,Wed,Febuary 7 th
39th,Thu,Febuary 8 th
40th,Fri,Febuary 9 th
41st,Sat,Febuary 10 th
42nd,Sun,Febuary 11 th
43rd,Mon     New,Febuary 12 th
44th,Tue,Febuary 13 th
45th,Wed,Febuary 14 th
46th,Thu,Febuary 15 th
47th,Fri,Febuary 16 th
48th,Sat,Febuary 17 th
49th,Sun,Febuary 18 th
50th,Mon,Febuary 19 th
51st,Tue,Febuary 20 th
52nd,Wed,Febuary 21 st
53rd,Thu,Febuary 22 nd
54th,Fri,Febuary 23 rd
55th,Sat,Febuary 24 th
56th,Sun,Febuary 25 th
57th,Mon,Febuary 26 th
58th,Tue     Full,Febuary 27 th
59th,Wed,Febuary 28 th
60th,Thu,March 1 st
61st,Fri,March 2 nd
62nd,Sat,March 3 rd
63rd,Sun,March 4 th
64th,Mon,March 5 th
65th,Tue,March 6 th
66th,Wed,March 7 th
67th,Thu,March 8 th
68th,Fri,March 9 th
69th,Sat,March 10 th
70th,Sun,March 11 th
71st,Mon,March 12 th
72nd,Tue,March 13 th
73rd,Wed     New,March 14 th
74th,Thu,March 15 th
75th,Fri,March 16 th
76th,Sat,March 17 th
77th,Sun,March 18 th
78th,Mon,March 19 th
79th,Tue,March 20 th
80th EQ,Wed,March 21 st
81st,Thu,March 22 nd
82nd,Fri,March 23 rd
83rd,Sat,March 24 th
84th,Sun,March 25 th
85th,Mon,March 26 th
86th,Tue,March 27 th
87th,Wed     Full,March 28 th
88th,Thu,March 29 th
89th,Fri,March 30 th
90th,Sat,March 31 st
91st,Sun,April 1 st
92nd,Mon,April 2 nd
93rd,Tue,April 3 rd
94th,Wed,April 4 th
95th,Thu,April 5 th
96th,Fri,April 6 th
97th,Sat,April 7 th
98th,Sun,April 8 th
99th,Mon,April 9 th
100th,Tue,April 10 th
101st,Wed,April 11 th
102nd,Thu     New,April 12 th
103rd,Fri,April 13 th
104th,Sat,April 14 th
105th,Sun,April 15 th
106th,Mon,April 16 th
107th,Tue,April 17 th
108th,Wed,April 18 th
109th,Thu,April 19 th
110th,Fri,April 20 th
111th,Sat,April 21 st
112th,Sun,April 22 nd
113th,Mon,April 23 rd
114th,Tue,April 24 th
115th,Wed,April 25 th
116th,Thu,April 26 th
117th,Fri     Full,April 27 th
118th,Sat,April 28 th
119th,Sun,April 29 th
120th,Mon,April 30 th
121st,Tue,May 1 st
122nd,Wed,May 2 nd
123rd,Thu,May 3 rd
124th,Fri,May 4 th
125th,Sat,May 5 th
126th,Sun,May 6 th
127th,Mon,May 7 th
128th,Tue,May 8 th
129th,Wed,May 9 th
130th,Thu,May 10 th
131st,Fri     New,May 11 th
132nd,Sat,May 12 th
133rd,Sun,May 13 th
134th,Mon,May 14 th
135th,Tue,May 15 th
136th,Wed,May 16 th
137th,Thu,May 17 th
138th,Fri,May 18 th
139th,Sat,May 19 th
140th,Sun,May 20 th
141st,Mon,May 21 st
142nd,Tue,May 22 nd
143rd,Wed,May 23 rd
144th,Thu,May 24 th
145th,Fri,May 25 th
146th,Sat,May 26 th
147th,Sun     Full,May 27 th
148th,Mon,May 28 th
149th,Tue,May 29 th
150th,Wed,May 30 th
151st,Thu,May 31 st
152nd,Fri,June 1 st
153rd,Sat,June 2 nd
154th,Sun,June 3 rd
155th,Mon,June 4 th
156th,Tue,June 5 th
157th,Wed,June 6 th
158th,Thu,June 7 th
159th,Fri,June 8 th
160th S,Sat,June 9 th
161st,Sun     New,June 10 th
162nd,Mon,June 11 th
163rd,Tue,June 12 th
164th,Wed,June 13 th
165th,Thu,June 14 th
166th,Fri,June 15 th
167th,Sat,June 16 th
168th,Sun,June 17 th
169th,Mon,June 18 th
170th,Tue,June 19 th
171st,Wed,June 20 th
172nd,Thu,June 21 st
173rd,Fri,June 22 nd
174th,Sat,June 23 rd
175th,Sun,June 24 th
176th,Mon     Full,June 25 th
177th,Tue,June 26 th
178th,Wed,June 27 th
179th,Thu,June 28 th
180th,Fri,June 29 th
181st,Sat,June 30 th
182nd,Sun,July 1 st
183rd,Mon,July 2 nd
184th,Tue,July 3 rd
185th,Wed,July 4 th
186th,Thu,July 5 th
187th,Fri,July 6 th
188th,Sat,July 7 th
189th,Sun,July 8 th
190th,Mon     New,July 9 th
191st,Tue,July 10 th
192nd,Wed,July 11 th
193rd,Thu,July 12 th
194th,Fri,July 13 th
195th,Sat,July 14 th
196th,Sun,July 15 th
197th,Mon,July 16 th
198th,Tue,July 17 th
199th,Wed,July 18 th
200th,Thu,July 19 th
201st,Fri,July 20 th
202nd,Sat,July 21 st
203rd,Sun,July 22 nd
204th,Mon,July 23 rd
205th,Tue,July 24 th
206th,Wed     Full,July 25 th
207th,Thu,July 26 th
208th,Fri,July 27 th
209th,Sat,July 28 th
210th,Sun,July 29 th
211th,Mon,July 30 th
212th,Tue,July 31 st
213th,Wed,August 1 st
214th,Thu,August 2 nd
215th,Fri,August 3 rd
216th,Sat,August 4 th
217th,Sun,August 5 th
218th,Mon,August 6 th
219th,Tue,August 7 th
220th,Wed     New,August 8 th
221st,Thu,August 9 th
222nd,Fri,August 10 th
223rd,Sat,August 11 th
224th,Sun,August 12 th
225th,Mon,August 13 th
226th,Tue,August 14 th
227th,Wed,August 15 th
228th,Thu,August 16 th
229th,Fri,August 17 th
230th,Sat,August 18 th
231st,Sun,August 19 th
232nd,Mon,August 20 th
233rd,Tue,August 21 st
234th,Wed,August 22 nd
