SOLAR,8219,JULIAN AUC,HISTORICAL
1st,Fri,972 Ianuarius / 1,219 Jan \ 1
2nd,Sat,972 Ianuarius / 2,219 Jan \ 2
3rd,Sun,972 Ianuarius / 3,219 Jan \ 3
4th,Mon     New,972 Ianuarius / 4,219 Jan \ 4
5th,Tue,972 Ianuarius / 5,219 Jan \ 5
6th,Wed,972 Ianuarius / 6,219 Jan \ 6
7th,Thu,972 Ianuarius / 7,219 Jan \ 7
8th,Fri,972 Ianuarius / 8,219 Jan \ 8
9th,Sat,972 Ianuarius / 9,219 Jan \ 9
10th,Sun,972 Ianuarius / 10,219 Jan \ 10
11th,Mon,972 Ianuarius / 11,219 Jan \ 11
12th,Tue,972 Ianuarius / 12,219 Jan \ 12
13th,Wed,972 Ianuarius / 13,219 Jan \ 13
14th,Thu,972 Ianuarius / 14,219 Jan \ 14
15th,Fri,972 Ianuarius / 15,219 Jan \ 15
16th,Sat,972 Ianuarius / 16,219 Jan \ 16
17th,Sun,972 Ianuarius / 17,219 Jan \ 17
18th,Mon     Full,972 Ianuarius / 18,219 Jan \ 18
19th,Tue,972 Ianuarius / 19,219 Jan \ 19
20th,Wed,972 Ianuarius / 20,219 Jan \ 20
21st,Thu,972 Ianuarius / 21,219 Jan \ 21
22nd,Fri,972 Ianuarius / 22,219 Jan \ 22
23rd,Sat,972 Ianuarius / 23,219 Jan \ 23
24th,Sun,972 Ianuarius / 24,219 Jan \ 24
25th,Mon,972 Ianuarius / 25,219 Jan \ 25
26th,Tue,972 Ianuarius / 26,219 Jan \ 26
27th,Wed,972 Ianuarius / 27,219 Jan \ 27
28th,Thu,972 Ianuarius / 28,219 Jan \ 28
29th,Fri,972 Ianuarius / 29,219 Jan \ 29
30th,Sat,972 Ianuarius / 30,219 Jan \ 30
31st,Sun,972 Ianuarius / 31,219 Jan \ 31
32nd,Mon,972 Februarius / 1,219 Feb / 1
33rd,Tue     New,972 Februarius / 2,219 Feb / 2
34th,Wed,972 Februarius / 3,219 Feb / 3
35th,Thu,972 Februarius / 4,219 Feb / 4
36th,Fri,972 Februarius / 5,219 Feb / 5
36th,Sat,972 Februarius / 6,219 Feb / 6
38th,Sun,972 Februarius / 7,219 Feb / 7
39th,Mon,972 Februarius / 8,219 Feb / 8
40th,Tue,972 Februarius / 9,219 Feb / 9
41st,Wed,972 Februarius / 10,219 Feb / 10
42nd,Thu,972 Februarius / 11,219 Feb / 11
43rd,Fri,972 Februarius / 12,219 Feb / 12
44th,Sat,972 Februarius / 13,219 Feb / 13
45th,Sun,972 Februarius / 14,219 Feb / 14
46th,Mon,972 Februarius / 15,219 Feb / 15
47th,Tue,972 Februarius / 16,219 Feb / 16
48th,Wed     Full,972 Februarius / 17,219 Feb / 17
49th,Thu,972 Februarius / 18,219 Feb / 18
50th,Fri,972 Februarius / 19,219 Feb / 19
51st,Sat,972 Februarius / 20,219 Feb / 20
52nd,Sun,972 Februarius / 21,219 Feb / 21
53rd,Mon,972 Februarius / 22,219 Feb / 22
54th,Tue,972 Februarius / 23,219 Feb / 23
55th,Wed,972 Februarius / 24,219 Feb / 24
56th,Thu,972 Februarius / 25,219 Feb / 25
57th,Fri,972 Februarius / 26,219 Feb / 26
58th,Sat,972 Februarius / 27,219 Feb / 27
59th,Sun,972 Februarius / 28,219 Feb / 28
60th,Mon,972 Martius / 1,219 Mar / 1
61st,Tue,972 Martius / 2,219 Mar / 2
62nd,Wed     New,972 Martius / 3,219 Mar / 3
63rd,Thu,972 Martius / 4,219 Mar / 4
64th,Fri,972 Martius / 5,219 Mar / 5
65th,Sat,972 Martius / 6,219 Mar / 6
66th,Sun,972 Martius / 7,219 Mar / 7
67th,Mon,972 Martius / 8,219 Mar / 8
68th,Tue,972 Martius / 9,219 Mar / 9
69th,Wed,972 Martius / 10,219 Mar / 10
70th,Thu,972 Martius / 11,219 Mar / 11
71st,Fri,972 Martius / 12,219 Mar / 12
72nd,Sat,972 Martius / 13,219 Mar / 13
73rd,Sun,972 Martius / 14,219 Mar / 14
74th,Mon,972 Martius / 15,219 Mar / 15
75th,Tue,972 Martius / 16,219 Mar / 16
76th,Wed,972 Martius / 17,219 Mar / 17
77th,Thu     Full,972 Martius / 18,219 Mar / 18
78th,Fri,972 Martius / 19,219 Mar / 19
79th,Sat,972 Martius / 20,219 Mar / 20
80th EQ,Sun,972 Martius / 21,219 Mar / 21
81st  X,Mon,972 Martius / 22,219 Mar / 22
82nd X,Tue,972 Martius / 23,219 Mar / 23
83rd  X,Wed,972 Martius / 24,219 Mar / 24
84th X,Thu,972 Martius / 25,219 Mar / 25
85th X,Fri,972 Martius / 26,219 Mar / 26
86th X,Sat,972 Martius / 27,219 Mar / 27
87th X,Sun,972 Martius / 28,219 Mar / 28
88th X,Mon,972 Martius / 29,219 Mar / 29
89th X,Tue,972 Martius / 30,219 Mar / 30
90th X,Wed,972 Martius / 31,219 Mar / 31
91st X,Thu,972 Aprilis / 1,219 Apr / 1
92nd X,Fri     New,972 Aprilis / 2,219 Apr / 2
93rd X,Sat,972 Aprilis / 3,219 Apr / 3
94th X,Sun,972 Aprilis / 4,219 Apr / 4
95th X,Mon,972 Aprilis / 5,219 Apr / 5
96th X,Tue,972 Aprilis / 6,219 Apr / 6
97th X,Wed,972 Aprilis / 7,219 Apr / 7
98th X,Thu,972 Aprilis / 8,219 Apr / 8
99th X,Fri,972 Aprilis / 9,219 Apr / 9
100th X,Sat,972 Aprilis / 10,219 Apr / 10
101st X,Sun,972 Aprilis / 11,219 Apr / 11
102nd X,Mon,972 Aprilis / 12,219 Apr / 12
103rd X,Tue,972 Aprilis / 13,219 Apr / 13
104th X,Wed,972 Aprilis / 14,219 Apr / 14
105th X,Thu,972 Aprilis / 15,219 Apr / 15
106th X,Fri,972 Aprilis / 16,219 Apr / 16
107th X,Sat     Full,972 Aprilis / 17,219 Apr / 17
108th X,Sun,972 Aprilis / 18,219 Apr / 18
109th X,Mon,972 Aprilis / 19,219 Apr / 19
110th X,Tue,972 Aprilis / 20,219 Apr / 20
111th X,Wed,972 Aprilis / 21,219 Apr / 21
