SOLAR,7649,HISTORICAL
1st,Fri,352 Jan \ 6
2nd,Sat,352 Jan \ 7
3rd,Sun,352 Jan \ 8
4th,Mon,352 Jan \ 9
5th,Tue,352 Jan \ 10
6th,Wed,352 Jan \ 11
7th,Thu,352 Jan \ 12
8th,Fri,352 Jan \ 13
9th,Sat,352 Jan \ 14
10th,Sun,352 Jan \ 15
11th,Mon,352 Jan \ 16
12th,Tue,352 Jan \ 17
13th,Wed,352 Jan \ 18
14th,Thu,352 Jan \ 19
15th,Fri     Full,352 Jan \ 20
16th,Sat,352 Jan \ 21
17th,Sun,352 Jan \ 22
18th,Mon,352 Jan \ 23
19th,Tue,352 Jan \ 24
20th,Wed,352 Jan \ 25
21st,Thu,352 Jan \ 26
22nd,Fri,352 Jan \ 27
23rd,Sat,352 Jan \ 28
24th,Sun,352 Jan \ 29
25th,Mon,352 Jan \ 30
26th,Tue,352 Jan \ 31
27th,Wed,352 Feb \ 1
28th,Thu,352 Feb \ 2
29th,Fri     New,352 Feb \ 3
30th,Sat,352 Feb \ 4
31st,Sun,352 Feb \ 5
32nd,Mon,352 Feb \ 6
33rd,Tue,352 Feb \ 7
34th,Wed,352 Feb \ 8
35th,Thu,352 Feb \ 9
36th,Fri,352 Feb \ 10
36th,Sat,352 Feb \ 11
38th,Sun,352 Feb \ 12
39th,Mon,352 Feb \ 13
40th,Tue,352 Feb \ 14
41st,Wed,352 Feb \ 15
42nd,Thu,352 Feb \ 16
43rd,Fri,352 Feb \ 17
44th,Sat     Full,352 Feb \ 18
45th,Sun,352 Feb \ 19
46th,Mon,352 Feb \ 20
47th,Tue,352 Feb \ 21
48th,Wed,352 Feb \ 22
49th,Thu,352 Feb \ 23
50th,Fri,352 Feb \ 24
51st,Sat,352 Feb \ 25
52nd,Sun,352 Feb \ 26
53rd,Mon,352 Feb \ 27
54th,Tue,352 Feb \ 28
55th,Wed,352 Mar \ 1
56th,Thu,352 Mar \ 2
57th,Fri,352 Mar \ 3
58th ,Sat,352 Mar \ 4
59th X,Sun     New,352 Mar \ 5
60th X,Mon,352 Mar \ 6
61st X,Tue,352 Mar \ 7
62nd X,Wed,352 Mar \ 8
63rd X,Thu,352 Mar \ 9
64th X,Fri,352 Mar \ 10
65th X,Sat,352 Mar \ 11
66th X,Sun,352 Mar \ 12
67th X,Mon,352 Mar \ 13
68th X,Tue,352 Mar \ 14
69th X,Wed,352 Mar \ 15
70th X,Thu,352 Mar \ 16
71st X,Fri,352 Mar \ 17
72nd X,Sat,352 Mar \ 18
73rd X,Sun,352 Mar \ 19
74th X,Mon     Full,352 Mar \ 20
75th X,Tue,352 Mar \ 21
76th X,Wed,352 Mar \ 22
77th X,Thu,352 Mar \ 23
78th X,Fri,352 Mar \ 24
79th X,Sat,352 Mar \ 25
80th EQ,Sun,352 Mar \ 26
81st  X,Mon,352 Mar \ 27
82nd X,Tue,352 Mar \ 28
83rd  X,Wed,352 Mar \ 29
84th X,Thu,352 Mar \ 30
85th X,Fri,352 Mar \ 31
86th X,Sat,352 Apr \ 1
87th,Sun,352 Apr \ 2
88th,Mon     New,352 Apr \ 3
89th,Tue,352 Apr \ 4
90th,Wed,352 Apr \ 5
91st,Thu,352 Apr \ 6
92nd,Fri,352 Apr \ 7
93rd,Sat,352 Apr \ 8
94th,Sun,352 Apr \ 9
95th,Mon,352 Apr \ 10
96th,Tue,352 Apr \ 11
97th,Wed,352 Apr \ 12
98th,Thu,352 Apr \ 13
99th,Fri,352 Apr \ 14
100th,Sat,352 Apr \ 15
101st,Sun,352 Apr \ 16
102nd,Mon,352 Apr \ 17
103rd,Tue     Full,352 Apr \ 18
104th,Wed,352 Apr \ 19
105th,Thu,352 Apr \ 20
106th,Fri,352 Apr \ 21
107th,Sat,352 Apr \ 22
108th,Sun,352 Apr \ 23
109th,Mon,352 Apr \ 24
110th,Tue,352 Apr \ 25
111th,Wed,352 Apr \ 26
112th,Thu,352 Apr \ 27
113th,Fri,352 Apr \ 28
114th,Sat,352 Apr \ 29
115th,Sun,352 Apr \ 30
116th,Mon,352 May \ 1
117th,Tue,352 May \ 2
118th,Wed     New,352 May \ 3
119th,Thu,352 May \ 4
120th,Fri,352 May \ 5
121st,Sat,352 May \ 6
122nd,Sun,352 May \ 7
123rd,Mon,352 May \ 8
124th,Tue,352 May \ 9
125th,Wed,352 May \ 10
126th,Thu,352 May \ 11
127th,Fri,352 May \ 12
128th,Sat,352 May \ 13
129th,Sun,352 May \ 14
130th,Mon,352 May \ 15
131st,Tue,352 May \ 16
132nd,Wed     Full,352 May \ 17
133rd,Thu,352 May \ 18
134th,Fri,352 May \ 19
135th,Sat,352 May \ 20
136th,Sun,352 May \ 21
137th,Mon,352 May \ 22
138th,Tue,352 May \ 23
139th,Wed,352 May \ 24
140th,Thu,352 May \ 25
141st,Fri,352 May \ 26
142nd,Sat,352 May \ 27
143rd,Sun,352 May \ 28
144th,Mon,352 May \ 29
145th,Tue,352 May \ 30
146th,Wed,352 May \ 31
147th,Thu,352 Jun / 1
148th,Fri     New,352 Jun / 2
149th,Sat,352 Jun / 3
150th,Sun,352 Jun / 4
151st,Mon,352 Jun / 5
152nd,Tue,352 Jun / 6
153rd,Wed,352 Jun / 7
154th,Thu,352 Jun / 8
155th,Fri,352 Jun / 9
156th,Sat,352 Jun / 10
157th,Sun,352 Jun / 11
158th,Mon,352 Jun / 12
159th,Tue,352 Jun / 13
160th S,Wed,352 Jun / 14
161st,Thu,352 Jun / 15
162nd,Fri     Full,352 Jun / 16
163rd,Sat,352 Jun / 17
164th,Sun,352 Jun / 18
165th,Mon,352 Jun / 19
166th,Tue,352 Jun / 20
167th,Wed,352 Jun / 21
168th,Thu,352 Jun / 22
169th,Fri,352 Jun / 23
170th,Sat,352 Jun / 24
171st,Sun,352 Jun / 25
172nd,Mon,352 Jun / 26
173rd,Tue,352 Jun / 27
174th,Wed,352 Jun / 28
175th,Thu,352 Jun / 29
176th,Fri,352 Jun / 30
177th,Sat     New,352 Jul / 1
178th,Sun,352 Jul / 2
179th,Mon,352 Jul / 3
180th,Tue,352 Jul / 4
181st,Wed,352 Jul / 5
182nd,Thu,352 Jul / 6
183rd,Fri,352 Jul / 7
184th,Sat,352 Jul / 8
185th,Sun,352 Jul / 9
186th,Mon,352 Jul / 10
187th,Tue,352 Jul / 11
188th,Wed,352 Jul / 12
189th,Thu,352 Jul / 13
190th,Fri,352 Jul / 14
191st,Sat     Full,352 Jul / 15
192nd,Sun,352 Jul / 16
193rd,Mon,352 Jul / 17
194th,Tue,352 Jul / 18
195th,Wed,352 Jul / 19
196th,Thu,352 Jul / 20
197th,Fri,352 Jul / 21
198th,Sat,352 Jul / 22
199th,Sun,352 Jul / 23
200th,Mon,352 Jul / 24
201st,Tue,352 Jul / 25
202nd,Wed,352 Jul / 26
203rd,Thu,352 Jul / 27
204th,Fri,352 Jul / 28
205th,Sat,352 Jul / 29
206th,Sun,352 Jul / 30
207th,Mon     New,352 Jul / 31
208th,Tue,352 Aug / 1
209th,Wed,352 Aug / 2
210th,Thu,352 Aug / 3
211th,Fri,352 Aug / 4
212th,Sat,352 Aug / 5
213th,Sun,352 Aug / 6
214th,Mon,352 Aug / 7
215th,Tue,352 Aug / 8
216th,Wed,352 Aug / 9
217th,Thu,352 Aug / 10
218th,Fri,352 Aug / 11
219th,Sat,352 Aug / 12
220th,Sun     Full,352 Aug / 13
221st,Mon,352 Aug / 14
222nd,Tue,352 Aug / 15
223rd,Wed,352 Aug / 16
224th,Thu,352 Aug / 17
225th,Fri,352 Aug / 18
226th,Sat,352 Aug / 19
227th,Sun,352 Aug / 20
228th,Mon,352 Aug / 21
229th,Tue,352 Aug / 22
230th,Wed,352 Aug / 23
231st,Thu,352 Aug / 24
232nd,Fri,352 Aug / 25
233rd,Sat,352 Aug / 26
234th,Sun,352 Aug / 27
235th,Mon,352 Aug / 28
236th,Tue     New,352 Aug / 29
237th,Wed,352 Aug / 30
238th,Thu,352 Aug / 31
239th,Fri,352 Sep / 1
240th,Sat,352 Sep / 2
241st,Sun,352 Sep / 3
242nd,Mon,352 Sep / 4
243rd,Tue,352 Sep / 5
244th,Wed,352 Sep / 6
245th,Thu,352 Sep / 7
246th,Fri,352 Sep / 8
247th,Sat,352 Sep / 9
248th,Sun,352 Sep / 10
249th,Mon,352 Sep / 11
250th,Tue     Full,352 Sep / 12
251st,Wed,352 Sep / 13
252nd,Thu,352 Sep / 14
253rd,Fri,352 Sep / 15
254th,Sat,352 Sep / 16
255th,Sun,352 Sep / 17
256th,Mon,352 Sep / 18
257th,Tue,352 Sep / 19
258th,Wed,352 Sep / 20
259th,Thu,352 Sep / 21
260th,Fri,352 Sep / 22
261st,Sat,352 Sep / 23
262nd,Sun,352 Sep / 24
263rd,Mon,352 Sep / 25
264th,Tue,352 Sep / 26
265th,Wed     New,352 Sep / 27
266th EQ,Thu,352 Sep / 28
267th,Fri,352 Sep / 29
268th,Sat,352 Sep / 30
269th,Sun,352 Oct / 1
270th,Mon,352 Oct / 2
271st,Tue,352 Oct / 3
272nd,Wed,352 Oct / 4
273rd,Thu,352 Oct / 5
274th,Fri,352 Oct / 6
275th,Sat,352 Oct / 7
276th,Sun,352 Oct / 8
277th,Mon,352 Oct / 9
278th,Tue,352 Oct / 10
279th,Wed,352 Oct / 11
280th,Thu     Full,352 Oct / 12
281st,Fri,352 Oct / 13
282nd,Sat,352 Oct / 14
283rd,Sun,352 Oct / 15
284th,Mon,352 Oct / 16
285th,Tue,352 Oct / 17
286th,Wed,352 Oct / 18
287th,Thu,352 Oct / 19
288th,Fri,352 Oct / 20
289th,Sat,352 Oct / 21
290th,Sun,352 Oct / 22
291st,Mon,352 Oct / 23
292nd,Tue,352 Oct / 24
293rd,Wed,352 Oct / 25
294th,Thu,352 Oct / 26
295th,Fri     New,352 Oct / 27
296th,Sat,352 Oct / 28
297th,Sun,352 Oct / 29
298th,Mon,352 Oct / 30
299th,Tue,352 Oct / 31
300th,Wed,352 Nov / 1
301st,Thu,352 Nov / 2
302nd,Fri,352 Nov / 3
303rd,Sat,352 Nov / 4
304th,Sun,352 Nov / 5
305th,Mon,352 Nov / 6
306th,Tue,352 Nov / 7
307th,Wed,352 Nov / 8
308th,Thu,352 Nov / 9
309th,Fri,352 Nov / 10
310th,Sat     Full,352 Nov / 11
311th,Sun,352 Nov / 12
312th,Mon,352 Nov / 13
313th,Tue,352 Nov / 14
314th,Wed,352 Nov / 15
315th,Thu,352 Nov / 16
316th,Fri,352 Nov / 17
317th,Sat,352 Nov / 18
318th,Sun,352 Nov / 19
319th,Mon,352 Nov / 20
320th,Tue,352 Nov / 21
321st,Wed,352 Nov / 22
322nd,Thu,352 Nov / 23
323rd,Fri,352 Nov / 24
324th,Sat     New,352 Nov / 25
325th,Sun,352 Nov / 26
326th,Mon,352 Nov / 27
327th,Tue,352 Nov / 28
328th,Wed,352 Nov / 29
329th,Thu,352 Nov / 30
330th,Fri,352 Dec / 1
331st,Sat,352 Dec / 2
332nd,Sun,352 Dec / 3
333rd,Mon,352 Dec / 4
334th,Tue,352 Dec / 5
335th,Wed,352 Dec / 6
336th,Thu,352 Dec / 7
337th,Fri,352 Dec / 8
338th,Sat,352 Dec / 9
339th,Sun     Full,352 Dec / 10
340th,Mon,352 Dec / 11
341st,Tue,352 Dec / 12
342nd,Wed,352 Dec / 13
343rd,Thu,352 Dec / 14
344th,Fri,352 Dec / 15
345th,Sat,352 Dec / 16
346th,Sun,352 Dec / 17
347th,Mon,352 Dec / 18
348th,Tue,352 Dec / 19
349th,Wed,352 Dec / 20
350th,Thu,352 Dec / 21
351st,Fri,352 Dec / 22
352nd,Sat,352 Dec / 23
353rd,Sun,352 Dec / 24
354th,Mon     New,352 Dec / 25
355th,Tue,352 Dec / 26
356th So,Wed,352 Dec / 27
357th,Thu,352 Dec / 28
358th,Fri,352 Dec / 29
359th,Sat,352 Dec / 30
360th,Sun,352 Dec / 31
361st,Mon,351 Jan / 1
362nd,Tue,351 Jan / 2
363rd,Wed,351 Jan / 3
364th,Thu,351 Jan / 4
365th,Fri,351 Jan / 5
366th,XXXXX,XXXXX
