SOLAR,7648 L,HISTORICAL
1st,Wed,353 L Jan \ 6
2nd,Thu,353 L Jan \ 7
3rd,Fri,353 L Jan \ 8
4th,Sat,353 L Jan \ 9
5th,Sun,353 L Jan \ 10
6th,Mon,353 L Jan \ 11
7th,Tue,353 L Jan \ 12
8th,Wed,353 L Jan \ 13
9th,Thu,353 L Jan \ 14
10th,Fri,353 L Jan \ 15
11th,Sat     New,353 L Jan \ 16
12th,Sun,353 L Jan \ 17
13th,Mon,353 L Jan \ 18
14th,Tue,353 L Jan \ 19
15th,Wed,353 L Jan \ 20
16th,Thu,353 L Jan \ 21
17th,Fri,353 L Jan \ 22
18th,Sat,353 L Jan \ 23
19th,Sun,353 L Jan \ 24
20th,Mon,353 L Jan \ 25
21st,Tue,353 L Jan \ 26
22nd,Wed,353 L Jan \ 27
23rd,Thu,353 L Jan \ 28
24th,Fri,353 L Jan \ 29
25th,Sat,353 L Jan \ 30
26th,Sun     Full,353 L Jan \ 31
27th,Mon,353 L Feb \ 1
28th,Tue,353 L Feb \ 2
29th,Wed,353 L Feb \ 3
30th,Thu,353 L Feb \ 4
31st,Fri,353 L Feb \ 5
32nd,Sat,353 L Feb \ 6
33rd,Sun,353 L Feb \ 7
34th,Mon,353 L Feb \ 8
35th,Tue,353 L Feb \ 9
36th,Wed,353 L Feb \ 10
36th,Thu,353 L Feb \ 11
38th,Fri,353 L Feb \ 12
39th,Sat,353 L Feb \ 13
40th,Sun,353 L Feb \ 14
41st,Mon     New,353 L Feb \ 15
42nd,Tue,353 L Feb \ 16
43rd,Wed,353 L Feb \ 17
44th,Thu,353 L Feb \ 18
45th,Fri,353 L Feb \ 19
46th,Sat,353 L Feb \ 20
47th,Sun,353 L Feb \ 21
48th,Mon,353 L Feb \ 22
49th,Tue,353 L Feb \ 23
50th,Wed,353 L Feb \ 24
51st,Thu,353 L Feb \ 25
52nd,Fri,353 L Feb \ 26
53rd,Sat,353 L Feb \ 27
54th,Sun,353 L Feb \ 28
55th,Mon,353 L Feb \ 29
56th,Tue     Full,353 L Mar \ 1
57th,Wed,353 L Mar \ 2
58th ,Thu,353 L Mar \ 3
59th X,Fri,353 L Mar \ 4
60th X,Sat,353 L Mar \ 5
61st X,Sun,353 L Mar \ 6
62nd X,Mon,353 L Mar \ 7
63rd X,Tue,353 L Mar \ 8
64th X,Wed,353 L Mar \ 9
65th X,Thu,353 L Mar \ 10
66th X,Fri,353 L Mar \ 11
67th X,Sat,353 L Mar \ 12
68th X,Sun,353 L Mar \ 13
69th X,Mon,353 L Mar \ 14
70th X,Tue,353 L Mar \ 15
71st X,Wed     New,353 L Mar \ 16
72nd X,Thu,353 L Mar \ 17
73rd X,Fri,353 L Mar \ 18
74th X,Sat,353 L Mar \ 19
75th X,Sun,353 L Mar \ 20
76th X,Mon,353 L Mar \ 21
77th X,Tue,353 L Mar \ 22
78th X,Wed,353 L Mar \ 23
79th X,Thu,353 L Mar \ 24
80th EQ,Fri,353 L Mar \ 25
81st  X,Sat,353 L Mar \ 26
82nd X,Sun,353 L Mar \ 27
83rd  X,Mon,353 L Mar \ 28
84th X,Tue,353 L Mar \ 29
85th X,Wed     Full,353 L Mar \ 30
86th X,Thu,353 L Mar \ 31
87th,Fri,353 L Apr \ 1
88th,Sat,353 L Apr \ 2
89th,Sun,353 L Apr \ 3
90th,Mon,353 L Apr \ 4
91st,Tue,353 L Apr \ 5
92nd,Wed,353 L Apr \ 6
93rd,Thu,353 L Apr \ 7
94th,Fri,353 L Apr \ 8
95th,Sat,353 L Apr \ 9
96th,Sun,353 L Apr \ 10
97th,Mon,353 L Apr \ 11
98th,Tue,353 L Apr \ 12
99th,Wed,353 L Apr \ 13
100th,Thu     New,353 L Apr \ 14
101st,Fri,353 L Apr \ 15
102nd,Sat,353 L Apr \ 16
103rd,Sun,353 L Apr \ 17
104th,Mon,353 L Apr \ 18
105th,Tue,353 L Apr \ 19
106th,Wed,353 L Apr \ 20
107th,Thu,353 L Apr \ 21
108th,Fri,353 L Apr \ 22
109th,Sat,353 L Apr \ 23
110th,Sun,353 L Apr \ 24
111th,Mon,353 L Apr \ 25
112th,Tue,353 L Apr \ 26
113th,Wed,353 L Apr \ 27
114th,Thu     Full,353 L Apr \ 28
115th,Fri,353 L Apr \ 29
116th,Sat,353 L Apr \ 30
117th,Sun,353 L May \ 1
118th,Mon,353 L May \ 2
119th,Tue,353 L May \ 3
120th,Wed,353 L May \ 4
121st,Thu,353 L May \ 5
122nd,Fri,353 L May \ 6
123rd,Sat,353 L May \ 7
124th,Sun,353 L May \ 8
125th,Mon,353 L May \ 9
126th,Tue,353 L May \ 10
127th,Wed,353 L May \ 11
128th,Thu,353 L May \ 12
129th,Fri,353 L May \ 13
130th,Sat     New,353 L May \ 14
131st,Sun,353 L May \ 15
132nd,Mon,353 L May \ 16
133rd,Tue,353 L May \ 17
134th,Wed,353 L May \ 18
135th,Thu,353 L May \ 19
136th,Fri,353 L May \ 20
137th,Sat,353 L May \ 21
138th,Sun,353 L May \ 22
139th,Mon,353 L May \ 23
140th,Tue,353 L May \ 24
141st,Wed,353 L May \ 25
142nd,Thu,353 L May \ 26
143rd,Fri,353 L May \ 27
144th,Sat     Full,353 L May \ 28
145th,Sun,353 L May \ 29
146th,Mon,353 L May \ 30
147th,Tue,353 L May \ 31
148th,Wed,353 L Jun / 1
149th,Thu,353 L Jun / 2
150th,Fri,353 L Jun / 3
151st,Sat,353 L Jun / 4
152nd,Sun,353 L Jun / 5
153rd,Mon,353 L Jun / 6
154th,Tue,353 L Jun / 7
155th,Wed,353 L Jun / 8
156th,Thu,353 L Jun / 9
157th,Fri,353 L Jun / 10
158th,Sat,353 L Jun / 11
159th,Sun     New,353 L Jun / 12
160th S,Mon,353 L Jun / 13
161st,Tue,353 L Jun / 14
162nd,Wed,353 L Jun / 15
163rd,Thu,353 L Jun / 16
164th,Fri,353 L Jun / 17
165th,Sat,353 L Jun / 18
166th,Sun,353 L Jun / 19
167th,Mon,353 L Jun / 20
168th,Tue,353 L Jun / 21
169th,Wed,353 L Jun / 22
170th,Thu,353 L Jun / 23
171st,Fri,353 L Jun / 24
172nd,Sat,353 L Jun / 25
173rd,Sun     Full,353 L Jun / 26
174th,Mon,353 L Jun / 27
175th,Tue,353 L Jun / 28
176th,Wed,353 L Jun / 29
177th,Thu,353 L Jun / 30
178th,Fri,353 L Jul / 1
179th,Sat,353 L Jul / 2
180th,Sun,353 L Jul / 3
181st,Mon,353 L Jul / 4
182nd,Tue,353 L Jul / 5
183rd,Wed,353 L Jul / 6
184th,Thu,353 L Jul / 7
185th,Fri,353 L Jul / 8
186th,Sat,353 L Jul / 9
187th,Sun,353 L Jul / 10
188th,Mon,353 L Jul / 11
189th,Tue     New,353 L Jul / 12
190th,Wed,353 L Jul / 13
191st,Thu,353 L Jul / 14
192nd,Fri,353 L Jul / 15
193rd,Sat,353 L Jul / 16
194th,Sun,353 L Jul / 17
195th,Mon,353 L Jul / 18
196th,Tue,353 L Jul / 19
